original_prompt,prompt,negative_prompt
a leg of a centipede,"close-up of a single centipede leg, highly detailed macro shot, fine texture, realistic colors, extremely sharp focus, intricate details","entire centipede, multiple legs, full centipede, body segments, whole centipede, out of focus, blurry, low detail, abstract shapes, multiple legs, entire leg cluster, full view"
a mane of a horse,"close-up of a horse's mane, detailed, textured, flowing brown hair, realistic, focus on hair strands","horse face, horse ears, horse head, background, visible neck, visible body, eyes, blurry, out of focus"
a tentacle of a coral,"A close-up of a single vibrant coral tentacle, underwater, with rich colors and clear details, isolated from the main coral body, surrounded by clear blue water.","Blurry, multiple tentacles intertwined, unclear details, entire coral body, background distractions, gray background., background distractions."
a paw of a fox,"a close-up of a fox paw with detailed and sharp focus, displaying realistic textures and visible fur","full fox body, multiple body parts, fox face, background, blurred, not detailed, cartoon, clay, reptilian, stone, synthetic, distorted, excessive fur, indistinguishable features,""full fox body, distorted"""
a tongue of an anteater,"Close-up of an anteater's tongue licking, showcasing its long, slender tongue with detailed texture, sharp focus, and high clarity.","Whole body of the anteater, blurred background, unclear focus, other parts of the anteater, shell-like appearance, abstract texture."
a spike of an echidna,"""a single echidna spike, macro, hyper-detailed, photorealistic, sharp focus, isolated on white background""","""whole echidna, animal, blur, low detail, background objects, spotted pattern, blurry edges, multiple spikes, plant materials, seeds"",whole echidna"
a fang of a bat,"close-up, detailed bat fang, sharp, isolated on a white background","bat body, wings, abstract shapes, blurry, indistinct, multiple objects, text, background textures, unclear features,wings, bat body"
a scale of a snake,"a highly detailed close-up of a single snake scale, featuring intricate patterns and rich textures, captured in a high-resolution image with vibrant colors","entire snake, multiple scales, snake skin, uncoiled snake, blurry, low detail, abstract patterns, non-representational texture, dull colors"
a eye of an eagle,"A hyper-detailed macro photograph of an eagle's eye with sharp textures and realistic colors, capturing the intricate pattern of feathers surrounding the eye. The eagle's eye should be clear and full of depth, with precise details and high resolution. The colors should be natural and true to life, giving a realistic view of the eagle's eye and the surrounding feather patterns.","abstract, blurry, indistinct, unrealistic colors, non-feather patterns, weird shapes, not an eagle, obscured details, lack of sharpness, unnatural textures, closed eye, blurred, unsharp"
a claw of a cheetah,"close-up of a cheetah's claw, sharp claws, detailed texture, realistic animal anatomy, cheetah paw","whole cheetah, cheetah body, cheetah fur, background, outdoors, bone, sculpture, abstract, unrealistic 이미지, unrealistic"
a fur of a rabbit,"close-up of the fluffy texture of rabbit fur, detailed, soft, warm ","full rabbit, rabbit face, rabbit ears, background, surroundings, other animals, objects, text"
a nose of a dog,"""close-up of a dog's nose, focus on the nose detail, sharp and clear""","""full dog face, side view of dog, entire dog head, far view, extreme close-up, skin texture, blurry, abstract elements"",full dog face"
a ear of a rabbit,"A close-up of a rabbit ear, detailed, realistic, natural colors, soft fur, outdoors with a natural background, focus on the ear","human ear, blurred, abstract, unrealistic, gray background, full rabbit body"
a claw of an eagle,"Highly detailed close-up of an eagle's claw, showing the sharp talons and the realistic texture of the scaled skin. Natural colors and lighting, single claw in focus with defined features.","Blurred, abstract, indistinct, whole eagle, cartoonish, unrealistic, multiple claws, distorted, unnatural colors, feather texture, unclear form., unnatural colors.,blurred"
a feather of a swan,"single detailed swan feather, high resolution, isolated on a plain white background","multiple feathers, blurred, colored feathers, gray background"
a spike of a porcupine,"a close-up of a single porcupine quill, clear details of the quill's texture, with a blurred background.","porcupine, animal face, full body, multiple quills, hair-like structures, fur, animal features, spiky fur"
a claw of a tiger,"a close-up of a tiger's claw, realistic, detailed, sharp, with tiger fur patterns, claw visible, with defined sharpness","tiger face, tiger head, teeth, mouth, cartoon, unrealistic, blurry, skin, wrinkles, fur folds, abstract patterns"
a antler of a moose,"close-up of a moose antler, highly detailed, realistic, forest background, single moose antler, focus on texture and intricate details of the moose antler, natural environment","moose body, full moose, animal body, whole animal, background out of focus, unnatural elements, multiple antlers, isolated background, simple background"
a shell of a turtle,"A detailed turtle shell with intricate textures and patterns, isolated on a plain background.","Turtle body, limbs, head, active turtle, living turtle, complete turtle, moving turtle, woven texture, basket-like texture., moving turtle.,turtle body"
a snout of a pig,"a close-up of a pig's snout, detailed, centered, realistic","pig's body, ears, background, full pig, any other animal features,a pig's body,a full pig"
a stinger of a bee,"extreme close-up of a bee's stinger, macro photography, detailed, sharp focus, isolated on a neutral background","entire bee, honeycomb, blurry image, background distractions, entire body of bee, out of focus, wings, legs, head"
a tusk of a mammoth,"An intact mammoth tusk, ivory colored, smoothly curved, with detailed and realistic texture, situated in a natural environment such as a forest or grassland, well-lit scene with good contrast, realistic colors, and clear details.","Broken tusk, fractured tusk, abstract design, cartoonish style, black and white coloration, incomplete tusk, isolated on a plain or unnatural background, indistinguishable or unclear shapes, animals, aquatic life, reptiles, amphibians., indistinguishable or unclear shapes.,""Half tusk, broken tusk, abstract, cartoonish, black and white, incomplete, isolated on plain background"""
a claw of a scorpion,"A detailed close-up of the claw of a scorpion, sharp, with articulated joints, in focus, on a plain background","elephant, blurry, out of focus, background details, rocks, grass, trees, textures, wood,rocks"
a snout of an aardvark,"extreme close-up of an aardvark's snout, detailed texture, nostrils, whiskers, texture of skin, high resolution","scorpion, arachnid, claws, stinger, bones, incorrect animal, wrong snout, horns, rhino, full body, exoskeleton, background, unnatural elements,""scorpion, exoskeleton"",horns"
a tail of a beaver,"a flat, wide, scaly, paddle-shaped tail of a beaver against a clear background","fur, bushes, ears, face, legs, animal head, teeth, eyes, body, nose, whiskers, background objects, scenery"
a pouch of a wombat,"close-up of a wombat's pouch, highly detailed, realistic, focus on pouch","entire wombat, background, environment, trees, forest, full wombat, surroundings, landscape"
a quill of a porcupine,"A single porcupine quill on a plain white background, sharp and pointed, highly detailed, natural colors, clear and realistic, with visible barbs and texture.","furball, blurry, multiple quills, animal, cluster, fabric, fibers, hairball, abstract, distorted., texture, hairball."
a shell of a snail,"A detailed close-up of a snail shell on the ground, showcasing its spiral pattern and texture, with the shell as the main focus.","Snail body, snail antennae, creatures, insects, plants, seed, feather, spikes, pointy objects, abstract patterns."
a paw of a bear,"A close-up of a bear's paw with visible claws and fur texture, resting on a mossy forest floor, highly detailed and sharp focus, capturing the roughness and natural elements around.","Unrealistic, floating, disembodied, blurred, indistinct, abstract, fossilized, tree rings, incomplete, synthetic, cartoonish., abstract., incomplete."
a trunk of a tapir,"A close-up of the trunk of a tapir in a natural forest environment, with emphasis on the texture and detail of the trunk, surrounded by lush green vegetation.","Full body view of the tapir, other animals, blurry background, tapir's body, any part of the tapir other than the trunk, tapir feet or legs., any part of the tapir other than the trunk."
a bite of a mosquito,"a mosquito biting human skin, close-up of a mosquito bite, detailed view of a mosquito feeding","rhinoceros, trees, bark, forest, animal, blurry image, abstract background, mosquito flying, mosquito alone,mosquito flying"
a eye of a lemur,"Close-up view of a lemur's eye, showing detailed texture and vivid colors, with clear focus, and sharp image quality","Full body, background, multiple eyes, blurry image, other parts of the lemur's face, indistinct features, abstract shapes, unrelated objects, ear, indistinct features"
a tongue of a frog,"close-up of a frog’s tongue, pink, sticky, detail","full frog body, frog face, frog legs, surroundings, background, eyes, skin texture, fur, animal body, fur texture"
a fin of a manta ray,"Close-up of a manta ray fin above water, detailed textures, realistic lighting","Full body, flying, far away, horizon, sky, animal face, unnatural environments, abstract shapes, distorted features, unnatural environments.,full body"
a horn of a rhinoceros,"Close-up of a rhinoceros horn, detailed texture, realistic, centered, natural lighting, no other objects, background is earthy or plain.","Broken, damaged, abstract, sculpture, artificial, blurry, low resolution, water, marine, fins, animal, sky, ocean.,broken, ocean"
a scale of an iguana,"A detailed, close-up shot of a single iguana scale, showcasing its intricate pattern and vibrant colors, with clarity and focus on the texture.","background, full iguana, environment, whole body, nature scene, rock, abstract shapes, elephant skin."
a hoof of a horse,"A detailed, realistic close-up of a horse hoof on natural ground, with clear textures and defined details.","abstract, fantasy, sculpture, distorted shapes, unrecognizable objects, patterns, colorful, sphere, ball, textile, knitted.,Abstract, patterns."
