original_prompt,prompt,negative_prompt
a leg of a centipede,"Close-up of a single centipede leg, highly detailed macro shot, fine texture, realistic colors, extremely sharp focus, intricate details, segmented leg, natural surroundings, biological accuracy","Entire centipede, multiple legs, full centipede, body segments, whole centipede, out of focus, blurry, low detail, abstract shapes, clusters of legs, full view, artificial look, non-biological, cartoonish, rough texture,""Entire centipede, full view"",entire centipede, entire leg cluster"
a mane of a horse,"close-up of a horse's mane, detailed, textured, flowing brown hair, realistic, focus on hair strands, lifelike, lush mane, natural light, soft focus edges, rich and vibrant color","horse face, horse ears, horse head, background, visible neck, visible body, eyes, blurry, disjointed hair tuft, isolated, sharp edges, monochrome, flat lighting, out of focus"
a tentacle of a coral,"A close-up of a single vibrant coral tentacle, vibrant colors, clear details, isolated from the main coral body, surrounded by clear blue water.","Blurry, multiple tentacles, unclear details, entire coral body, background distractions, dull colors, gray background, multiple tentacles intertwined., multiple tentacles intertwined, gray background., background distractions."
a paw of a fox,"a close-up of a fox paw with sharp focus, displaying realistic textures and visible fur, and distinguishable claws.","full fox body, multiple body parts, fox face, background, blurred, not detailed, cartoon, clay, reptilian, stone, synthetic, distorted, excessive fur, indistinguishable features, claws retracted, ""full fox body, distorted."",""full fox body, distorted"""
a tongue of an anteater,"Close-up of an anteater's long, slender tongue licking, showcasing detailed texture and high clarity, with a sharp focus on the smooth surface of the tongue.","Whole body of the anteater, blurred background, unclear focus, other parts of the anteater, shell-like appearance, abstract texture, any other part of the anteater's mouth or rough-textured surfaces., abstract texture."
a spike of an echidna,"a single echidna spike, extreme close-up, hyper-detailed, photorealistic, sharp focus, isolated on white background, clear texture, natural brown color, high resolution","whole echidna, animal, blur, low detail, background objects, spotted pattern, blurry edges, multiple spikes, plant materials, seeds, rock background, fossil, patterned background, cluster, multiple spikes, grey background,""whole echidna, seeds"""
a fang of a bat,"close-up, detailed bat fang, sharp, isolated on a white background, realistic, one single fang, curved, slightly translucent, textured","bat body, wings, abstract shapes, blurry, indistinct, multiple objects, text, background textures, unclear features, jaws, multiple fangs, entire head, wings, bat body, smooth, indistinct tip,wings"
a scale of a snake,"A highly detailed close-up of a single snake scale, featuring intricate patterns and rich textures, captured in a high-resolution image with vibrant colors.","entire snake, multiple scales, snake skin, uncoiled snake, blurry, low detail, abstract patterns, non-representational texture, dull colors, mixed colors, nondescript surface, repetitive patterns."
a eye of an eagle,"A hyper-detailed macro photograph of an eagle's eye with sharp textures and realistic colors, capturing the intricate pattern of surrounding feathers. The eagle's eye should be clear and full of depth, showcasing its intense gaze. Ensure the photo is high resolution, revealing the fine texture of the feathers and the precise details of the eye. Colors should be natural and true to life, without any abstract or unrealistic elements.","abstract, blurry, indistinct, unrealistic colors, non-feather patterns, weird shapes, artificial details, obscured or unclear eye, lack of sharpness, unnatural textures, closed eye, unsharp, disjointed patterns, synthetic elements, unclear eye details., not an eagle, obscured details, blurred, artificial elements, unclear eye details"
a claw of a cheetah,"Close-up of a cheetah's claw, sharp claws, detailed texture, realistic cheetah anatomy, cheetah paw, visible claw retraction, realistic fur around the claws, natural lighting, high detail","whole cheetah, cheetah body, background, outdoors, bone, sculpture, abstract, unrealistic image, webbed, fishnet, fiber, net, abstract pattern, human-like, hand, unrealistic paw, unrealistic, 이미지, cheetah fur,  webbed, unrealistic 이미지"
