original_prompt,prompt,negative_prompt
a leg of a centipede,"close-up of a single centipede leg, detailed macro shot, visible texture, realistic colors, sharp focus","entire centipede, multiple legs, whole centipede, body segments, full view, out of focus, blurry, low detail"
a mane of a horse,"close-up of a horse's mane, detailed, textured, brown fur, realistic","horse face, horse ears, horse head, background, visible neck, visible body, eyes"
a tentacle of a coral,"A close-up of a vibrant coral tentacle, underwater, with rich colors and clear details, isolated from the main coral body.","Blurry, multiple tentacles intertwined, unclear details, entire coral body, background distractions."
a paw of a fox,"""a close-up of a fox paw, detailed, sharp focus, realistic textures, fur visible""","""full fox body, multiple body parts, fox face, background, blurred, not detailed, cartoon, clay, reptilian, stone, synthetic, distorted"",full fox body"
a tongue of an anteater,"Close-up of an anteater's tongue licking, with a focus on its long, slender tongue, detailed texture, sharp focus","Whole body of the anteater, blurred background, unclear focus, other parts of the anteater"
a spike of an echidna,"a single echidna quill, macro, hyper-detailed, photorealistic, sharp focus, no background","whole echidna, animal, blur, low detail, background objects, spotted pattern, blurry edges"
a fang of a bat,"close-up, detailed bat fang, sharp, isolated on clear background","bat body, wings, abstract shapes, blurry, indistinct, multiple objects,wings, bat body"
a scale of a snake,"a close-up of a single snake scale, highly detailed, intricate patterns and rich texture, high resolution, vibrant colors","entire snake, multiple scales, snake skin, uncoiled snake, blurry, low detail, abstract patterns, non-representational texture"
a eye of an eagle,"a detailed macro shot of an eagle's eye with sharp texture and realistic colors, showcasing the intricate pattern of feathers surrounding the eye, with clarity and precision.","abstract, blurred, indistinct, unrealistic colors, non-feather patterns, weird shapes, not an eagle, obscured details, unsharp, unnatural textures"
a claw of a cheetah,"close-up of a cheetah's claw, sharp claws, detailed texture, animal anatomy","whole cheetah, cheetah body, cheetah fur, background, outdoors, bone, sculpture, abstract, unrealistic"
a fur of a rabbit,close-up of the fluffy texture of rabbit fur,"full rabbit, rabbit face, rabbit ears, background, surroundings, other animals, objects, text"
a nose of a dog,close-up of a dog's nose,"full dog face, side view of dog, entire dog head, far view, extreme close-up, skin texture"
