original_prompt,prompt,negative_prompt
a leg of a centipede,"""Close-up of a single centipede leg, highly detailed macro shot, fine texture, realistic colors, extremely sharp focus, intricate details, segmented leg""","""Entire centipede, multiple legs, full centipede, body segments, whole centipede, out of focus, blurry, low detail, abstract shapes, clusters of legs, full view"",entire centipede, entire leg cluster, full view"
a mane of a horse,"close-up of a horse's mane, detailed, textured, flowing brown hair, realistic, focus on hair strands, lifelike, lush mane","horse face, horse ears, horse head, background, visible neck, visible body, eyes, blurry, out of focus, disjointed hair tuft, isolated"
a tentacle of a coral,"A close-up of a single vibrant coral tentacle, underwater, with rich colors and clear details, isolated from the main coral body, surrounded by clear blue water.","Blurry, multiple tentacles, unclear details, entire coral body, background distractions, gray background, multiple tentacles intertwined., multiple tentacles intertwined, gray background., background distractions."
a paw of a fox,"a close-up of a fox paw with detailed and sharp focus, displaying realistic textures and visible fur","full fox body, multiple body parts, fox face, background, blurred, not detailed, cartoon, clay, reptilian, stone, synthetic, distorted, excessive fur, indistinguishable features, claws retracted,""full fox body, distorted"""
a tongue of an anteater,"Close-up of an anteater's tongue licking, showcasing its long, slender tongue with detailed texture, sharp focus, and high clarity, focusing exclusively on the tongue with a smooth surface.","Whole body of the anteater, blurred background, unclear focus, other parts of the anteater, shell-like appearance, abstract texture, any other part of the anteater's mouth or rough-textured surfaces., abstract texture."
a spike of an echidna,"a single echidna spike, macro, hyper-detailed, photorealistic, sharp focus, isolated on white background, clear texture, natural color","whole echidna, animal, blur, low detail, background objects, spotted pattern, blurry edges, multiple spikes, plant materials, seeds, rock background, fossil, grey background, cluster,""whole echidna, seeds"""
a fang of a bat,"close-up, detailed bat fang, sharp, isolated on a white background, realistic, one single fang","bat body, wings, abstract shapes, blurry, indistinct, multiple objects, text, background textures, unclear features, jaws, multiple fangs, entire head,wings, bat body"
a scale of a snake,"a highly detailed close-up of a single snake scale, featuring intricate patterns and rich textures, captured in a high-resolution image with vibrant colors","entire snake, multiple scales, snake skin, uncoiled snake, blurry, low detail, abstract patterns, non-representational texture, dull colors, mixed colors"
a eye of an eagle,"A hyper-detailed macro photograph of an eagle's eye with sharp textures and realistic colors, capturing the intricate pattern of surrounding feathers. The eagle's eye should be clear and full of depth, with precise details and high resolution. The colors should be natural and true to life, showcasing the eagle's intense gaze and the fine texture of its feathers.","abstract, blurry, indistinct, unrealistic colors, non-feather patterns, weird shapes, not an eagle, obscured details, lack of sharpness, unnatural textures, closed eye, blurred, unsharp, disjointed patterns, artificial elements, unclear eye details"
a claw of a cheetah,"Close-up of a cheetah's claw, sharp claws, detailed texture, realistic animal anatomy, cheetah paw, visible claw retraction","whole cheetah, cheetah body, cheetah fur, background, outdoors, bone, sculpture, abstract, unrealistic image,  webbed, fishnet, fiber, net, abstract pattern, unrealistic 이미지, unrealistic"
a fur of a rabbit,"Extreme close-up of fluffy rabbit fur texture, highly detailed, soft and warm, beige and brown shades","Full rabbit, rabbit face, rabbit ears, background, surroundings, other animals, objects, text,full rabbit"
a nose of a dog,"close-up of a dog's nose, focus on the nose detail, sharp and clear, showing the texture of the nose, front view","full dog face, side view of dog, entire dog head, far view, extreme close-up, fur detail, blurry, abstract elements,""full dog face, skin texture, abstract elements"""
a ear of a rabbit,"A close-up of a rabbit ear, detailed, realistic, natural colors, soft fur, outdoors with a natural background, focus on the rabbit's ear, showing the texture and delicate fur.","human ear, blurred, abstract, unrealistic, gray background, full rabbit body, no rabbit ear visible, fur obscured."
a claw of an eagle,"Highly detailed close-up of an eagle's claw, showcasing the sharp talons and realistic texture of the scaled skin. Natural colors and lighting, single claw in sharp focus with defined features.","Blurred, abstract, indistinct, whole eagle, cartoonish, unrealistic, multiple claws, distorted, unnatural colors, feather texture, unclear form, soft focus, covered with feathers., unclear form., unnatural colors.,blurred"
a feather of a swan,"single detailed swan feather, high resolution, isolated on a plain white background, crisp edges, realistic texture","multiple feathers, blurred, colored feathers, woven or textured background, gray background"
a spike of a porcupine,"a close-up of a single porcupine quill, detailed texture with a blurred background, macro photography, intricate pattern, sharp focus on the quill","porcupine, animal face, full body, multiple quills, hair-like structures, fur, animal features, spiky fur, soft focus, lack of detail"
a claw of a tiger,"a close-up of a tiger's claw, realistic, detailed, with visible sharpness, with tiger fur patterns surrounding the claw, high resolution, macro photography","tiger face, tiger head, teeth, mouth, cartoon, unrealistic, blurry, wrinkles, fur folds, abstract patterns, bark, wood, tree, skin"
a antler of a moose,"""Up-close shot of a single moose antler, highly detailed and realistic, with a forest background, focusing on the texture and intricate details of the moose antler in a natural environment.""","""moose body, full moose, animal body, whole animal, background out of focus, unnatural elements, multiple antlers, isolated background, simple background, gray background."",moose body"
a shell of a turtle,"A detailed turtle shell with intricate textures and natural, geometric patterns, isolated on a plain background.","Turtle body, limbs, head, active turtle, living turtle, complete turtle, moving turtle, woven texture, basket-like texture, spherical shape, egg shape, rounded shell, incorrect patterns., basket-like texture., moving turtle.,turtle body"
a snout of a pig,"a close-up of a pig's snout, highly detailed, centered, realistic","pig's body, ears, background, full pig, any animal features except snout, text, any other animal features,a pig's body,a full pig"
a stinger of a bee,"extreme close-up of a bee's stinger, macro photography, detailed, sharp focus, isolated on a neutral background, highly detailed texture, single stinger","entire bee, honeycomb, blurry image, background distractions, entire body of bee, out of focus, wings, legs, head, multiple stingers, fuzzy image"
a tusk of a mammoth,"""An intact mammoth tusk, ivory colored, smoothly curved, with detailed and realistic texture, situated in a natural environment such as a forest or grassland. The tusk should be prominently displayed, well-lit, with good contrast, realistic colors, and clear details. The background should include flora such as trees or grass, under a clear sky or diffused sunlight.""","""Broken tusk, fractured tusk, abstract design, cartoonish style, black and white coloration, incomplete tusk, isolated on a plain or unnatural background, indistinguishable shapes, animals, aquatic life, reptiles, amphibians. Indistinguishable or unclear objects, heavily obscured tusk, tusk covered by too much dirt or vegetation, non-natural settings."",Broken tusk, indistinguishable or unclear shapes, amphibians., indistinguishable or unclear shapes.,""Half tusk, broken tusk, abstract, cartoonish, black and white, incomplete, isolated on plain background"""
a claw of a scorpion,"A detailed close-up of the claw of a scorpion, sharp, with articulated joints, in focus, on a plain background","elephant, blurry, out of focus, background details, rocks, grass, trees, textures, wood, tree trunk, stump,rocks"
a snout of an aardvark,"Extreme close-up of an aardvark's snout, detailed texture, nostrils, whiskers, textured skin, high resolution, natural colors","Scorpion, arachnid, claws, stinger, bones, incorrect animal, wrong snout, horns, rhino, full body, exoskeleton, background, unnatural elements,scorpion,""scorpion, exoskeleton"",horns"
a tail of a beaver,"a flat, wide, scaly, paddle-shaped beaver tail against a clear background","fur, bushes, ears, face, legs, animal head, teeth, eyes, body, nose, whiskers, background objects, scenery"
a pouch of a wombat,"close-up of a wombat's pouch, highly detailed, realistic, focus on the pouch, texture of fur, marsupial anatomy, soft lighting","entire wombat, background, environment, trees, forest, full wombat, surroundings, landscape, tail, grey, plain background"
a quill of a porcupine,"A single porcupine quill on a plain white background, sharp and pointed, highly detailed, natural colors, clear and realistic, with visible barbs and texture.","pillow, fabric, fibers, abstract, blurry, animal, furball, cluster, hairball, distorted.,furball, multiple quills, texture, hairball."
a shell of a snail,"A detailed close-up of a snail's shell on the ground, showcasing its spiral pattern and texture, with emphasis on the shell as the main focus.","snail body, snail antennae, creatures, insects, plants, seed, feather, spikes, pointy objects, abstract patterns, background elements.,Snail body, abstract patterns."
a paw of a bear,"A close-up of a bear's paw with visible claws and fur texture, resting on a mossy forest floor, highly detailed and sharp focus, capturing the roughness and natural elements around. Nature, forest, realistic, highly detailed, sharp focus, rugged textures, visible fur, animal.","Unrealistic, floating, disembodied, blurred, indistinct, abstract, fossilized, tree rings, incomplete, synthetic, cartoonish, unnatural, smooth, shiny, polished, metallic, plastic., cartoonish., abstract., incomplete."
a trunk of a tapir,"A close-up of the trunk of a tapir in a natural forest environment, with emphasis on the texture and detail of the trunk. The trunk should be surrounded by lush green vegetation and foliage. The image should capture the nuances of the moss, leaves, and the texture of the tapir’s trunk, keeping the background focused but natural.","Full body view of the tapir, other animals, blurry background, tapir's body, any part of the tapir other than the trunk, tapir feet or legs, indistinct foliage, low detail., tapir feet or legs., any part of the tapir other than the trunk."
a bite of a mosquito,"a mosquito biting human skin, close-up of a mosquito bite, detailed view of a mosquito feeding on human skin, high detail","rhinoceros, trees, bark, forest, animal, blurry image, abstract background, mosquito flying, mosquito alone, plant, green, foliage,mosquito flying"
a eye of a lemur,"Extreme close-up view of a lemur's eye, showcasing the detailed texture, vibrant colors, and sharp clarity of the iris and surrounding area. The image is focused and highlights the intricate patterns of the eye with high-definition quality.","Full body, background, multiple eyes, blurry image, other parts of the lemur's face, indistinct features, abstract shapes, unrelated objects, ear, indistinct features, antennas."
a tongue of a frog,"close-up of a frog's pink sticky tongue, detailed texture, wet and glossy","full frog body, frog face, frog legs, surroundings, background, eyes, skin texture, fur, animal body, fur texture, eye, eye texture, eye detail, wrinkles"
a fin of a manta ray,"Close-up of a manta ray fin, detailed textures, realistic lighting, natural environment","Full body, flying, far away, horizon, sky, animal face, unnatural environments, abstract shapes, distorted features, unnatural colors, unnatural environments.,full body"
a horn of a rhinoceros,"Prompt: Close-up of a rhinoceros horn, extremely detailed texture, highly realistic, centered, natural sunlight, earthy or plain background.","Negative Prompt: Broken, damaged, abstract, sculpture, artificial, blurry, low resolution, water, marine, fins, animal, sky, ocean, fish, manta ray.,Broken, ocean.,broken"
a scale of an iguana,"A detailed, close-up shot of a single iguana scale, showcasing its intricate pattern and vibrant colors, with clarity and focus on the texture. ","background, full iguana, environment, whole body, nature scene, rock, abstract shapes, elephant skin, wrinkled texture, monotone colors, elephant skin."
a hoof of a horse,"A detailed, realistic close-up of a horse hoof on natural ground, with clear textures and defined details. The hoof should exhibit rich, earthy tones and show the wear and natural imperfections typically seen on a horse's hoof. Surrounding ground should have elements like soil, grass, or small rocks, enhancing the natural environment. ","abstract, fantasy, sculpture, distorted shapes, unrecognizable objects, patterns, colorful, sphere, ball, textile, knitted, abstract patterns, unnatural colors, synthetic textures, fabrics, woven, digital art, paint splatters., knitted.,Abstract, patterns."
a paw of a panda,"Close-up of a panda paw, detailed, realistic, fur texture, black and white, soft lighting, high-resolution, sharp focus","Full body of a panda, face of panda, rock, fossil, bones, surroundings, claws detached, skeleton parts, background, body parts outside paw, full body of a panda, sky, trees, landscape, dirt, ground,full body of a panda"
a flipper of a seal,"Close-up of a seal flipper, detailed textures, realistic, showing the unique patterns and wrinkles on the flipper surface, smooth skin without fur","Full body of a seal, seal head, unrealistic textures, animal fur, fur patterns, fur textures, full body of a seal, animal fur patterns, animal fur textures,full body of a seal"
a bill of a duck,"Ultra close-up of a duck's bill, showing detailed texture and natural colors, sharp and highly focused image. Duck's bill in natural light highlighting its texture and shades of orange and yellow.","entire duck, background, full duck body, blurred, abstract, out of focus, mesh pattern, metallic, plastic, synthetic texture, patterns, unnatural textures, embossed, carving.,""entire duck, unnatural colors, synthetic texture."", unnatural colors "
a claw of a lobster,"a detailed close-up of a single lobster claw, showing natural texture and sharp details, realistic colors, with a clear and plain background ","multiple claws, whole lobster, lobster body, blurry image, abstract background, part of animal apart from claw, any plant-like features, wrong colors, feathers, beak, animals, fur,""multiple claws, plant-like features, wrong colors"", textured, blurry 이미지, part of animal"
a tentacle of a squid,"A highly detailed, realistic tentacle of a squid with prominent suction cups, rich textures, and intricate details, in high resolution. Set in a dynamic underwater environment with bubbles, light beams filtering through water, and marine life all around.","full squid, multiple tentacles, blurry, octopus, rocks, stone, low resolution, artificial objects, floating debris, unnatural colors.,Full squid"
a gill of a newt,"Extreme close-up macro photography of a newt gill, showing intricate structures, biological details, and rich textures, sharp focus, vivid colors.","Full newt body, blurry image, low resolution, background, worm, tentacle, insect, simple structures, unattractive objects, plant, coral, abstract shapes, cartoon, bubbles, distorted features.,full newt body, simple, unattractive, cartoon."
a whisker of a mouse,"single whisker of a mouse, extremely detailed, high-resolution, close-up, isolated whisker ","entire mouse, body, full mouse, tail, multiple whiskers, background, fur, non-whisker elements"
a tusk of an elephant,"Close-up of a single elephant tusk, isolated, highly detailed, realistic, smooth, clear, shiny, ivory texture, no background, centered view.","Scratch, blur, abstract, distorted, chipped, broken, skin, wrinkles, grainy, unfocused, background, part, section, discolored, dirty, paired.,scratch,""scratch, background"""
a crest of a rooster,"A highly detailed and realistic close-up depiction of a rooster's crest, showcasing vibrant and natural colors, focusing on the intricate textures and appearance of the crest with extensive detail.","Full rooster, abstract elements, background objects, text, body, wings, feet, tail feathers, carved, sculpture, statue, embossed, emblems, historical elements, text.,abstract elements"
a fin of a shark,"A shark's dorsal fin cutting through the surface of the ocean, with water splashing around it, clear and detailed. Realistic ocean background with ripples and waves, detailed and sharp, bright daylight. ","Entire shark body, abstract or blurry shapes, indistinct fins, fish or dolphin shapes, unnatural colors, abstract background, unrealistic water patterns, blurry image, abstract shapes, indistinct background, no fin visible, unclear water surface, dark or dim setting., indistinct background.,Abstract or blurry shapes, unrealistic water patterns.,Blurry image"
a antenna of an ant,"Extreme close-up macro photography of an ant's single antenna, high detail, sharp focus, minimalistic background, no other body parts visible","blurry background, entire ant body, other insects, mantis-like shape, multiple antennae, whole ant body, other insect parts, full body ant, ant legs, insects, full ant body, object, machine, artificial structure"
a tail of a lemur,"A close-up view of a lemur's tail with bold, clear black and white stripes, in sharp focus, set against a lush green background. The tail should be connected to the lemur's body, with the main focus on the tail, capturing its texture and pattern clearly.","blurry, entire lemur body, floating tail, tail disconnected from body, low resolution, surreal elements, multiple tails, partially visible body, unrelated background elements,""blurry, disconnected from the body, partially visible body."", partially visible lemur."", surreal elements"""
a tooth of a crocodile,"Close-up of a sharp crocodile tooth with highly detailed, realistic texture. The focus is on the sharpness and intricate ridges of the tooth, set against a neutral background, showcasing the pointed tip and surface texture clearly.","Blurred, smooth, untextured, unrealistic, cartoonish, abstract, fake, low quality, fossil, fragment, chipped, out of focus., out of focus, chipped.,blurred"
a web of a spider,"Intricate spider web, perfectly woven strands, glistening with tiny dew drops, ethereal and serene atmosphere, close-up high-definition macro photograph, showcasing the natural beauty and elegant detail of the spider's craftsmanship.","Background noise, harsh shadows, out-of-focus image, overly bright colors, insects other than spiders, unnatural elements, misshapen forms, dark or artificial background, synthetic textures.,Background clutter, harsh lighting, blurry image, oversaturated colors, unrealistic elements, distorted shapes, dark background, artificial textures."
a whisker of a catfish,"Extreme close-up of a single catfish whisker, focusing on the detailed texture and structure of the smooth whisker. The whisker should be singular, clearly defined, with fine and intricate details visible. ","Full body, background objects, other animals, blurry, dark lighting, more than one whisker, fur, fibers, entire catfish, multiple whiskers, hair, fabric, indistinct whisker, unclear details, other plant or animal parts.,full body, rest of the catfish, fiber"
a tail of a scorpion,"extreme close-up of a scorpion tail, high detail, realistic, macro photography, focusing on texture and segments, dramatic lighting","whole scorpion, legs, body, multiple tails, cartoon, illustration, rock, stone, abstract, background, human, blur, digital art, painting"
a whisker of a walrus,"ultra-close-up of a single walrus whisker, highly detailed macro shot, texture, focus on an individual whisker, isolated on a plain background","entire walrus, tail, other body parts, full face, multiple whiskers, background elements, bunch of fur, group of whiskers"
a beak of a toucan,"Highly detailed, sharp, realistic close-up of a toucan beak, showcasing vivid colors, intricate patterns, and textures. Focus solely on the beak with high resolution, minimal background.","Abstract, blurry, incomplete, low quality, cartoonish, whole toucan body, head turned away, background elements, including the eye, muted colors, minimal patterns, top or bottom view., and muted colors., background elements."
