original_prompt,prompt,negative_prompt
a creature with a body of a goat and a head of a dragonfly and claws of a tiger,"A fantastical creature with the body of a goat, the head of a dragonfly, and the claws of a tiger standing on a grassy hill under a clear sky.","Wings, insect body parts (excluding dragonfly head), glowing elements, horns, any natural landscape backgrounds that aren't grassy hills, anachronistic or irrelevant features., natural landscape backgrounds that aren't grassy hills, and any anachronistic or irrelevant features., insect body parts, natural landscape backgrounds., glowing elements."
a creature with a body of an alligator and the wingspan of a condor and legs of a kangaroo,"A magnificent fantasy creature with the body of an alligator, the expansive wings of a condor, and the powerful legs of a kangaroo. It stands proudly in a vast field as the sky lights up with the vibrant hues of a stunning sunset.","Mammals, birds without reptilian features, terrestrial animals without wings, fish, insects, aquatic animals, mythical creatures without reptilian features, separate animals, landscape without creatures, humans, buildings, vehicles, birds, landscape without creatures, mythical creatures without reptilian features, non-reptilian creatures, alligator without wings and kangaroo legs., vehicles., landscape without creatures., mythical creatures without reptilian features."
a creature with a body of a gorilla and a tail of a rabbit and wings of a dove,"A realistic and detailed creature with the muscular body of a gorilla, the fluffy tail of a rabbit, and the majestic wings of a dove. The features are perfectly blended, with natural colors and intricate textures. The creature is in a natural environment, portraying a seamless integration of its parts, highlighting the muscular build, fluffy tail, and elegant wings. ","Cartoonish style, additional body parts, unrealistic colors, low detail, distorted anatomy, human facial features, wings of other birds, non-muscular body, non-fluffy tail, artificial background, human facial features., artificial background."
a creature with a body of an orca and antennae of a grasshopper and fins of a dolphin,"A marine creature with the body of an orca, the antennae of a grasshopper, and the fins of a dolphin, swimming gracefully in a serene underwater scene with blue, clear water, and sunlight filtering through the waves; realistic colors, proper proportions, and an appropriate marine environment.","Insects, non-aquatic creatures, irregular antenna shapes, incorrect fin shapes, unrealistic colors, disproportionate features, land or air environment, human-like features, beaches, other marine animals., human-like features.,insects, unrealistic colors."
a creature with a body of a tiger and a wingspan of a condor and a tail of a monkey,"A mythical creature with the powerful body of a tiger, majestic wings of a condor, and a flexible tail of a monkey, standing proudly on a rocky precipice with a picturesque mountain range in the background during sunset. The sky is painted with hues of orange, pink, and purple, enhancing the magical aura of the scene.","Human parts, regular tigers, creatures without wings, creatures without monkey tails, unrealistic colors, regular birds, regular tigers, purely birds, purely tigers, no mythological creatures, creatures without wings, creatures without monkey tails, unrealistic colors, regular eagles, regular condors, purely condors, purely monkeys, photographs of landscapes without any creatures, animals without blending of features., no mythological creatures., without wings, without monkey tail, unrealistic colors., regular eagles or condors"
a creature with a body of a toucan and the tail of a rat and wings of a bat,"A magical creature with the vibrant, colorful body of a toucan, a long, slender rat's tail, and large, majestic bat wings, perched on a branch in a mystical, glowing forest with ethereal light and mist. The creature exudes an aura of enchantment, blending seamlessly with the enchanting environment around it.","Regular birds, common animals, plain toucan, typical dragon, normal lizards, simple reptiles, standard wings, typical animals, ordinary birds, conventional creatures, mundane forest, dull colors, non-magical atmosphere., mundane forest., standard wings., plain toucan."
a creature with a body of a hawk and a beak of a toucan and legs of a cheetah,"A fantastical creature featuring a hawk's body, a vibrant toucan's beak, and the powerful legs of a cheetah, elegantly perched on a branch. The background is a lush, green habitat with dense foliage and vivid flowers. The creature has bright, intricate feathers, and its eyes shine with intelligence and curiosity.","Regular hawk, regular toucan, regular cheetah, ordinary bird, generic environment, plain background, simple landscape, no flowers, dull colors, ordinary, mundane, uninteresting scene, monochromatic, regular cheetah legs., normal bird, generic animal, plain environment, simple background, flowers missing, mundane., simple background., regular cheetah."
a creature with a body of a rabbit and a tail of a monkey and fins of a swordfish,"A fantastical creature with the body of a soft and fluffy rabbit, the long and prehensile tail of a monkey, and the sleek and sharp fins of a swordfish for swift swimming. It should have smooth rabbit fur, a dexterous monkey tail, and swordfish fins designed for speed and swimming. Make sure the creature has distinct and recognizable features of a rabbit, monkey, and swordfish only.","Any parts of creatures other than a rabbit, monkey, and swordfish; wings; scales; feathers; humanoid features; reptiles; birds; insects., and swordfish; wings; scales; feathers."
a creature with a body of a bat and a tail of a monkey and claws of an eagle,"A hyper-realistic and detailed hybrid creature featuring the main body of a bat, with wings spread wide, a flexible tail of a monkey, and the sharp claws of an eagle. Ensure the creature has a bat-like texture and fur, the agile and prehensile properties of a monkey's tail, and the strong, gripping talons of an eagle. Place the creature comfortably perching on a branch in a natural forest environment with detailed foliage and serene background elements.","Human face, human hands, humanoid features, cartoonish style, blurry image, multiple creatures, text, distorted proportions, artificial background, unrealistic textures., distorted proportions."
a creature with a body of a camel and a snout of a pig and scales of a fish,"A fantastical creature with the body shape of a camel, the snout of a pig, and covered in fish scales, standing in a desert environment. It has an extraordinary and mythical appearance, with all traits seamlessly blended together, showcasing a truly unique being. The scales glitter under the desert sun and the entire creature has an almost otherworldly aura.","Fur, feathers, smooth skin, normal mammal-like features (excluding snout), standard camel appearance, plain camel body parts, entire fish appearance, mammal-like features except for the snout, normal camel body parts, a fish, plain camel appearance, fur, normal animal features, plain desert, non-fantastical setting., entire fish appearance., plain camel appearance.,fur"
a creature with a body of a squid and a mane of a lion and tail of a skunk,"A highly detailed and realistic fantastical creature with the body and tentacles of a squid, a flowing and majestic mane of a lion, and a bushy tail of a skunk. The creature should have natural proportions and textures that appear lifelike.","Fish-like features, human-like features, cartoonish elements, unrealistic proportions, wooden texture, insect-like features, plant-like features, fur on the body, segmented limbs., plant-like features., wooden texture., and unrealistic proportions."
a creature with a body of a parrot and a head of a cat and fins of a dolphin,"A mystical and vibrant creature with the colorful, detailed body of a parrot, complete with intricate patterns and bright hues. It has the expressive eyes and head of a cat, blending seamlessly with its parrot body. Instead of wings, it has graceful fins resembling those of a dolphin, adorned with elaborate patterns and radiant colors. The overall appearance is strikingly vivid and otherworldly, capturing the essence of fantasy.","Beak, fish head, plain colors, ordinary bird, ordinary cat, ordinary dolphin, lack of detail, dull colors.,beak, ordinary dolphin."
a creature with a body of a butterfly and legs of a cheetah and wings of a bat,"""A fantastical creature with the body of a butterfly adorned with intricate patterns, the legs of a cheetah with distinctive spots, and wings like a bat. The design should emphasize a natural and seamless blending of these features while maintaining a mythological and harmonious look. The creature should be set against a lush, vibrant backdrop that enhances its mystical appearance. The scene should be crisp, clear, and detailed, with the creature appearing in vivid colors against a richly textured forest.""","""Human-like features, unrealistic proportions, additional limbs, blurry details, human facial expressions, cartoonish elements, overly complex designs, jagged edges, low resolution, dark background, dull colors, chaotic elements, indistinct scenery."", low resolution."",Human-like features, overly complex designs., blurry details."
a creature with a body of a rooster and a tail of a gecko and claws of a lion,"A fantastical creature with the body of a rooster, the tail of a gecko, and the claws of a lion, standing on a plain background, with a very realistic and natural appearance, proper proportions, and simple features.","Human-like features, extra limbs, background elements, exaggerated proportions, unrealistic colors, unnecessary details, and text., exaggerated proportions., background elements."
a creature with a body of a snake and a head of a falcon and legs of a cheetah,"A mythical creature with a snake's body, a falcon's head, and cheetah legs in a realistic style, set in a dark and mysterious forest environment. The falcon's head should be sleek and predatory, and the cheetah legs should be powerful and agile. The environment should have an eerie, shadowy atmosphere with dense foliage.","Human features, additional heads, wings, unrealistic colors, dinosaur-like appearance, standing upright, long neck, incorrect animal features, unrealistic textures.,Wings, human features, standing upright., long neck.,wings"
a creature with a body of a wolf and a beak of a toucan and wings of a bat,"A hyper-realistic hybrid creature with the body of a wolf, the vibrant beak of a toucan, and the leathery wings of a bat, soaring gracefully in a dark night sky illuminated by the glowing full moon. The landscape is eerie and mystical, with shadowy, twisted trees and a soft moonlight casting an ethereal, otherworldly glow.","Separate animals, cartoonish features, unrealistic parts, bright daylight, daytime setting, inconsistent creature parts, overly bright scenes, cartoonish, daytime, unrealistic., unrealistic elements, uncohesive creature parts, overly bright scenes., daytime setting."
a creature with a body of a salamander and a snout of a bear and legs of a kangaroo,"A realistic and detailed creature with the body of a salamander, the snout of a bear, and the legs of a kangaroo, standing in a lush forest with dense greenery and a background of towering mountains. The creature should have a smooth, scaly texture on its body, a rounded snout like a bear's, and powerful, muscular legs like a kangaroo's. The scene should be vibrant with natural lighting.","Human features, cartoon style, extra limbs, exaggerated proportions, unnatural colors, unnatural environments, exaggerated anatomical features, kangaroo face, mismatched textures., unrealistic colors, exaggerated proportions., unrealistic colors."
a creature with a body of a giraffe and a snout of a pig and fins of a fish,"A fantastical creature with the elongated neck and spotted body color pattern of a giraffe, a pig's snout, and fins of a fish extending from its body. It has bright, vibrant colors and is set in an underwater scene.","Plain giraffe, plain fish, plain pig, animal lacking fins, animal lacking pig snout, animal lacking elongated neck, bird-like creature, animal without spots, animal without fins, animal without pig snout., animal lacking snout, animal without spots., animal lacking snout."
a creature with a body of a sloth and a head of a crocodile and fins of a marlin,"A mythical creature with the body of a sloth, the head of a crocodile, and adorned with marlin fins, depicted in a lush, natural environment near a river or lake at sunset. The scene captures vibrant colors, reflecting on the calm water, and the creature is perfectly integrated into this serene and picturesque landscape.","Feathers, spikes, human-like features, incorrect body shapes, incorrect fins, incorrect body parts or fins, underwater scenes, mechanical elements, urban environments, unnatural color schemes., underwater scenes., human-like features., incorrect body parts or fins."
a creature with a body of a buffalo and a beak of a duck and claws of a lobster,"A fantastical creature with the body of a buffalo, the beak of a duck, and claws of a lobster, featuring an integrated seamless design, no additional animal parts, adhering closely to natural animal proportions","No extra limbs, no unrealistic proportions, no horns, no anthropomorphic traits, no lobster-like tail, avoid unnatural blending of animal parts.,No additional animal parts, no extra limbs, no anthropomorphic characteristics, no tail resembling a lobster, no unrealistic proportions., no tail resembling a lobsters, no anthropomorphic characteristics."
a creature with a body of a seal and a mane of a lion and fins of a goldfish,"A fantastical creature with the sleek, streamlined body of a seal, a majestic, flowing mane of a lion around its head, and large, graceful fins of a goldfish on its sides and tail. The creature is swimming elegantly in a crystal-clear blue underwater environment, with rays of sunlight illuminating its form.","No human features, no other animals, no background distractions, no harsh lighting or shadows, no blurry details, no bubbles or particles in the water, no unnatural colors or elements, no blurry details, no non-aquatic elements or land features., no unnatural colors or elements., no blurry details."
a creature with a body of a camel and a wingspan of a hawk and legs of a cheetah,"A fantastical creature with the robust body and long neck of a camel, powerful wings with a large wingspan like a hawk, and agile, spotted legs similar to those of a cheetah, soaring over an exotic, lush landscape during a vibrant sunset.","Regular camel, incorrect animal parts, hawk or cheetah without camel parts, incorrect wings, dragon-like features, simple background, daytime, plain background, completely different animals., daytime., plain background.,A regular camel"
a creature with a body of a mole and a beak of an eagle and wings of a cockroach,"A highly detailed and realistic creature with the body of a mole, the beak of an eagle, and the wings of a cockroach, in a lush natural background with vibrant greenery and a clear blue sky.","Cartoonish style, oversaturated colors, abstract art, low resolution, additional animals, unrealistic elements, insects, pixelation, low resolution, unrealistic elements, animated style., pixelation., unrealistic elements.,Insects, low resolution."
a creature with a body of a cobra and a head of a duck and claws of a bear,"A mythical creature with the body of a cobra, the head of a duck, and the claws of a bear, realistic proportions, detailed, and lifelike.","Multiple heads, unrealistic proportions, extra limbs, cartoonish style, exaggerated features, non-animal parts, blurry, abstract, distorted, unnatural colors., distorted. , non-animal parts., cartoonish style."
a creature with a body of a snail and a head of a parrot and legs of a cheetah,"A whimsical creature with a blue snail’s shell body adorned with intricate patterns, the vibrant head of a parrot with a rainbow array of feathers, and the muscular, swift legs of a cheetah, darting through an enchanted forest with glowing flora and luminescent trees.","Normal animals, horses, only snails, only parrots, only cheetahs, plain backgrounds, common forest, realistic colors, simplistic designs, mundane creatures, uninspired landscapes, dull colors., realistic colors., solely snails, solely parrots, solely cheetahs."
a creature with a body of a hedgehog and a tail of a scorpion and fins of a whale,"A fantastical creature with the body of a hedgehog, the tail of a scorpion, and the fins of a whale. The body is covered in spines like a hedgehog, and it has prominent fins and a curled, stinger-tipped tail like a scorpion. The environment is an imaginative, alien landscape, with vibrant underwater flora and glowing elements. The creature navigates through a brilliant, otherworldly seascape with luminescent corals and shimmering plants, floating gracefully between the glowing flora with ease.","Crab-like legs, crustacean appearance, marine species resemblance, multiple eyes, shark-like features, serpentine body, dragon-like appearance, land-based environment., shark-like features., marine species resemblance., multiple eyes."
