original_prompt,prompt,negative_prompt
a creature with a body of an elephant and a shell of a turtle and wings of a butterfly,"A highly detailed, realistic mythical creature with the body, head, and legs of an elephant, the shell of a turtle, and colorful butterfly wings. The creature's large shell is sturdy and turtle-like, while its wings are intricate and vibrant. The creature's anatomy is realistic with well-defined features, and it has an overall majestic appearance.","multiple heads, extra tails, unrealistic anatomy, turtle-like legs, unusual colors on the body, butterfly-shaped body, abstract forms, monochromatic color scheme, stripes or patterns that resemble zebra, wings that don't resemble butterfly wings, unnatural proportions, dull colors., turtle-like body, stripes or patterns that resemble zebra.,""multiple heads, abstract forms"", unrealistic anatomy"""
a creature with a body of a butterfly and scales of a snake and antennae of an ant,"""A magnificent, mythical creature with the elegant body of a butterfly, covered in detailed and vibrant snake-like scales. It possesses distinct ant-like antennae extending from its head. The creature's wings are large, colorful, and imbue a sense of fantasy, fluttering beautifully against a mystical, enchanting background with vibrant colors and ethereal light.""","""Blurry, distorted, overly abstract, missing wings, missing antennae, missing scales, insect body, simple background, plain colors, dull, dark, low resolution, overly complex background, disproportionate features, lack of detail, dull, monochrome, grayscale, overly simple."", lack of detail."",""None, blurry, plain colors"", missing scales"""
a creature with a body of a butterfly and a tail of a scorpion and fins of a fish,"A fantastical creature with the body of a butterfly, wings of a butterfly, the tail of a scorpion, and the fins of a fish. Intricate and detailed illustration, colorful, high resolution, vibrant colors, intricate patterns, dynamic posture, mythological essence, and bioluminescent features in a natural, lush background.","Additional limbs, human features, plain background, low detail, simple design, blurry, monochromatic, furniture, buildings, text, extra legs, fur, spikes, robotic elements., text.,additional limbs"
a creature with a body of a deer and a horn of a rhinoceros and fins of a shark,"A majestic fantastical creature with the graceful body of a deer, a prominent horn of a rhinoceros, and sleek fins of a shark, standing proudly with clear, distinct features in a dense, magical forest with lush greenery and vibrant lighting.","Floating, multiple creatures, humanoid body, blurry, indistinct features, gray background, abstract shapes, distorted proportions, incomplete form, deer antlers, overly dark lighting., incomplete form."
a creature with a body of a rhino and a beak of a hawk and legs of a horse,"A majestic creature with the powerful body of a rhino, the keen beak of a hawk, and the strong legs of a horse. The creature is depicted in a realistic style with detailed textures and musculature, standing on a plain background. The creature has an imposing presence with natural, animalistic characteristics. ","Extra limbs, unrealistic features, distortions, cartoonish elements, wings, any bird-like features except the beak, flying creatures, multiple creatures, hybrid features unrelated to rhino, horse, or hawk, extra appendages, unnatural textures., incorrect body parts, or hawk., flying creatures.,extra limbs"
a creature with a body of a swan and a shell of a crab and claws of an eagle,"A fantastical creature combining the elegant body of a swan, the protective shell of a crab, and the powerful claws of an eagle, with majestic wings. ","Bird head, bird beak, extra legs, additional animals, blurry, distorted, human-like features, background distractions, extra wings, legs, feathers.,bird head, "
a creature with a body of a turtle and a tail of a horse and wings of a dragon,"A mythical creature with the body of a turtle, the tail of a horse, and large dragon wings stands majestically in a dense, vibrant fantasy forest. The forest is filled with blooming flowers and tall, mystical trees. The creature is illuminated by ethereal light, adding a magical aura to the scene.","Double heads, snake-like elements, dragon heads, plain grey background, humanoid features, additional creatures, obscured creature, feathered wings, blurry details., additional creatures., plain grey background., snake-like elements."
a creature with a body of a snail and a head of a parrot and legs of a cheetah,"A fantastical creature featuring the body of a snail, the head of a parrot, and the legs of a cheetah. The creature retains the overall shape and structure of a snail, seamlessly blending the colorful and vivid characteristics of a parrot's head and the swift, muscular legs of a cheetah. Ensure the textures are natural, cohesive, and in proportion.","Standing position, bird-like body, mismatched textures, unrealistic proportions, floating limbs, detached elements, distorted body, two different creatures, blurred features, unrealistic colors, off-center head., separate snail, off-center head"
a creature with a body of a moose and a head of an owl and legs of an elephant,"A fantastical creature with the body of a moose, the head of an owl, and the legs of an elephant. The transitions between the body parts are smooth and realistic, featuring detailed textures. The creature is realistically rendered with vibrant, lifelike colors and natural details. The overall appearance is harmonious and well-blended, with a clear merging of animal traits.","Incorrect proportions, disjointed body parts, low detail, blurry image, distorted features, uneven textures, unnatural colors, poorly blended transitions, unclear merging of animal traits, unrealistic elements, muddled appearance, unnatural features., unrealistic colors, poorly blended transitions between parts., unclear merging of animal traits.,""incorrect proportions, distorted features"""
a creature with a body of a frog and a wingspan of a vulture and tail of a squirrel,"A fantasy creature with the body of a frog, large, strong, leathery wings like those of a bat, and the tail of a squirrel. This creature should not have any beak, feathers, or a bird head. Make sure the wings are bat-like without any feathers.","Beak, feathers, bird head, bird wings, bird legs, insect parts, multiple heads, human-like features, mechanical parts, bird wings, scales, vulture-like features, bird legs., bird head."
