original_prompt,prompt,negative_prompt
a creature with a body of an elephant and a shell of a turtle and wings of a butterfly,"""A mythical creature with the body of an elephant, the shell of a turtle, and the wings of a butterfly, highly detailed, realistic""","""multiple heads, extra tails, unrealistic anatomy"""
a creature with a body of a butterfly and scales of a snake and antennae of an ant,"""A mythical creature with the body of a butterfly, covered in snake-like scales, and wearing the antennae of an ant. It should have vibrant butterfly wings, detailed snake scales, and distinct ant antennae.""","""None, blurry, distorted, overly abstract, missing wings, missing antennae, missing scales"""
a creature with a body of a butterfly and a tail of a scorpion and fins of a fish,"a fantastical creature with the body of a butterfly, the tail of a scorpion, and the fins of a fish, detailed illustration, colorful, high resolution","additional limbs, human features, plain background, low detail"
a creature with a body of a deer and a horn of a rhinoceros and fins of a shark,"A fantastical creature with the body of a deer, the horn of a rhinoceros, and the fins of a shark, standing majestically. ","Floating, multiple creatures, blurry, indistinct features, gray background"
a creature with a body of a rhino and a beak of a hawk and legs of a horse,"A fantastical creature with the body of a rhino, the beak of a hawk, and the legs of a horse, realistic style, detailed textures","extra limbs, unrealistic features, incorrect body parts, distortions, cartoonish elements"
a creature with a body of a swan and a shell of a crab and claws of an eagle,"A creature with the body of a swan, the shell of a crab, and the claws of an eagle.","bird head, bird beak, extra legs, additional animals, blurry, distorted"
a creature with a body of a turtle and a tail of a horse and wings of a dragon,"A mythical creature with the body of a turtle, the tail of a horse, and large dragon wings.","Double heads, snake-like elements."
a creature with a body of a snail and a head of a parrot and legs of a cheetah,"A fantastical creature combining a snail's body, a parrot's head, and cheetah's legs. The creature should have the shape and body structure of a snail, with unmistakable parrot features for the head and cheetah features for the legs. ","Standing position, bird-like body, separate snail, detached elements"
a creature with a body of a moose and a head of an owl and legs of an elephant,"""a fantastical creature with the body of a moose, the head of an owl, and the legs of an elephant, realistically rendered""","""incorrect proportions, disjointed body parts, low detail, blurry image, distorted features"""
a creature with a body of a frog and a wingspan of a vulture and tail of a squirrel,"A fantasy creature with the body of a frog, the wings of a vulture, and the tail of a squirrel.","Beak, feathers, bird head."
a creature with a body of a frog and a mane of a lion and legs of a deer,"a mythical creature with the body of a frog, the mane of a lion, and the legs of a deer, no antlers, standing on a rock","antlers, wings, extra limbs"
a creature with a body of a peacock and a snout of an anteater and wings of a bee,"A fantasy creature with the body of a peacock, the snout of an anteater, and the wings of a bee, with vibrant colors and detailed textures.","None, unclear features, no snout, no peacock feathers, no bee wings."
a creature with a body of a dragonfly and a head of a leopard and legs of a frog,"A mythical creature with the body of a dragonfly, the head of a leopard, and the legs of a frog, highly detailed, realistic, full body view. ","distorted proportions, extra limbs, unclear features, multiple heads."
a creature with a body of a snake and a head of a falcon and legs of a cheetah,"a creature with the body of a snake, the head of a falcon, and the legs of a cheetah, detailed and realistic","blurry, abstract, extra legs, extra heads, cartoonish"
a creature with a body of a goat and a trunk of an elephant and claws of an eagle,"A fantastical creature combining the body of a goat, the trunk of an elephant, and the claws of an eagle, with highly detailed fur and feathers, standing on a rock.","Missing claws, incorrect body shape, without trunk"
a creature with a body of a sea lion and fins of a shark and claws of an eagle,"A mythical creature with the body of a sea lion, fins of a shark, and claws of an eagle. ","teeth, multiple heads, abstract shapes"
a creature with a body of a lobster and the tail of a fox and wings of a bat,"A magical creature with the body of a lobster, the tail of a fox, and the wings of a bat, detailed, realistic, fantasy setting.","Blurry, abstract, distorted, unrealistic anatomy."
a creature with a body of a toucan and a trunk of an elephant and fins of a trout,"a fantastical creature with a body of a toucan, added trunk of an elephant, and fins like a trout, highly detailed and colorful","plants, leaves, poorly drawn, low quality, text"
a creature with a body of a fox and a wingspan of an eagle and legs of a crab,"A fantastical creature with the body of a fox, large wings similar to an eagle, and legs resembling those of a crab. The creature should have well-defined features of each animal, with the fox body covered in fur, the eagle wings large and feathered, and the crab legs jointed with claws.","abstract, blurry, undefined, mismatched features, unrecognizable, distorted, disproportionate."
a creature with a body of a rabbit and a tail of a monkey and fins of a swordfish,"a creature with the body of a rabbit, the tail of a monkey, and the fins of a swordfish.","human elements, detached parts, unrelated animals, abstract shapes, floating objects"
a creature with a body of a wolf and a trunk of an elephant and wings of a vulture,"A mythical creature with the body of a fierce wolf, the trunk of a majestic elephant, and the wings of a powerful vulture.","humanoid features, multiple trunks, multiple legs, standing upright like a human, non-animal elements."
a creature with a body of a giraffe and a snout of a pig and fins of a fish,"A fantastical creature with the body of a giraffe, the snout of a pig, and fins of a fish, illustrated in great detail.","Blur, low detail, unclear features, misaligned body parts, incorrect anatomy"
a creature with a body of a buffalo and a beak of a duck and claws of a lobster,"a creature with the body of a buffalo, the beak of a duck, and the claws of a lobster, realistic","antler, bright red, overly simple design, lacking buffalo features"
a creature with a body of a squirrel and a mane of a lion and wings of a falcon,"a fantastical creature with the body of a squirrel, the mane of a lion, and the large, majestic wings of a falcon, detailed and realistic","statue, sculpture, gold, metallic"
a creature with a body of a lion and a tail of a scorpion and wings of a bat,"A mythical creature with the body of a lion, the tail of a scorpion, and the wings of a bat, standing majestically on a rocky terrain.","insect-like features, robotic elements, multiple legs, abstract design"
a creature with a body of a carp and a mane of a horse and claws of a hawk,"a mythical creature with a body of a carp, a flowing mane of a horse, and the sharp claws of a hawk, in a detailed natural environment","blurry, distorted features, incorrect proportions, unclear details"
a creature with a body of a squid and a mane of a lion and tail of a skunk,"a fantastical creature with the body of a squid, the mane of a lion, and the tail of a skunk.","mask, disembodied, floating, no body"
