original_prompt,prompt,negative_prompt
a creature with a body of a goat and a head of a dragonfly and claws of a tiger,"A seamlessly integrated hybrid creature with the body of a goat, the head of a dragonfly, and the claws of a tiger. Ensure all features are organically blended with realistic proportions and natural textures for a harmonious and lifelike appearance. Natural body textures and colors, and a cohesive and believable integration.","Two separate animals, mismatched integration, cartoonish style, human-like features, exaggerated characteristics, anthropomorphic elements, unrealistic proportions, unrealistic combinations, separate entities, exaggerated characteristics, unrealistic finish, plastic-like textures, comic-style graphics, human traits., unrealistic finish., exaggerated characteristics., anthropomorphic elements., unrealistic combination, cartoonish style."
a creature with a body of an alligator and the wingspan of a condor and legs of a kangaroo,"A fantastical creature with the body and tail of an alligator, powerful wings of a condor, and strong legs of a kangaroo, standing in a vibrant, natural landscape. The creature has a reptilian head that seamlessly matches its alligator body, depicted in a lifelike and dynamic pose.","Human features, extra heads, mechanical parts, mammal head, unnatural colors, ears, humanoid shape, additional limbs, unrealistic textures, cartoonish elements, artificial objects, human-made structures., unrealistic textures., mammal head., unnatural colors."
a creature with a body of a gorilla and a tail of a rabbit and wings of a dove,"A magical creature with the powerful body of a gorilla, the fluffy tail of a rabbit, and the graceful wings of a dove, all seamlessly blended together in a realistic and cohesive manner. The creature is set against a serene forest backdrop with soft sunlight filtering through the trees. The elements should merge naturally, emphasizing the harmony within the creature and its environment.","Separate animals, unrealistic anatomy, cartoon style, multiple heads, disjointed features, contrasting parts, urban or industrial backgrounds, artificial elements, unrelated backgrounds, disjointed features, unrelated backgrounds., artificial elements., disjointed features."
a creature with a body of an orca and antennae of a grasshopper and fins of a dolphin,"A fantastical creature with the body of an orca, the antennae of a grasshopper, and the fins of a dolphin, gracefully swimming through a vibrant ocean environment filled with colorful coral, tropical fish, and crystal-clear blue water. The scene is bright and full of lively marine life, in an underwater paradise, showing a singular majestic creature as the center of attention.","Multiple creatures, insects, non-ocean settings, inaccurate body parts, dull colors, terrestrial backgrounds, dark or murky water, lifeless environments, text, overly busy scenes., grasshoppers, insects separate from the creature, lifeless environments., terrestrial backgrounds., non-ocean settings."
a creature with a body of a tiger and a wingspan of a condor and a tail of a monkey,"A majestic creature with the body of a tiger, the expansive wingspan of a condor, and the agile tail of a monkey, soaring mid-air in a fantastical realm filled with vibrant colors and intricate details, captured in a dynamic and striking pose. Vivid, colorful, and high-fantasy background.","Separate tiger, condor, and monkey; multiple animals; on the ground; realistic style; plain background; stationary pose; parts not merged; muted colors; low detail; nighttime; crowded; non-fantastical elements., and monkey; multiple animals; on the ground; realistic style; plain background; stationary pose; separate parts., and monkey; multiple animals; on the ground; realistic style; plain background; stationary pose., and monkey; multiple animals; ground; realistic style; plain background., and monkey; multiple animals; ground; realistic style."
a creature with a body of a toucan and the tail of a rat and wings of a bat,"A seamless and cohesive fantastical creature with the sleek body and iconic vibrant colorful beak of a toucan. It incorporates a long, flexible rat's tail, and detailed, intricate bat-like wings. The creature is naturally unified, vibrant, and set against a richly detailed natural background.","Separate individual animals, plain backgrounds, fragmented or disjointed features, unrealistic proportions, unnatural blending, plain or dull designs, unrealistic elements, disjointed features, and separate unnatural elements., plain or dull designs., unrealistic separate elements, disjointed features., and unrealistic separate elements., and unrealistic elements."
a creature with a body of a hawk and a beak of a toucan and legs of a cheetah,"A fantastical creature with the body and feathers of a hawk, the colorful beak of a toucan, and the spotted legs of a cheetah. The creature has a vivid toucan beak, realistic cheetah legs, and is rendered with realistic textures and vibrant colors. The creature stands prominently against a white background.","Background objects, additional animals, irrelevant elements, multiple creatures, human features, aquatic features, plants, text, accessories., aquatic features., human features."
a creature with a body of a rabbit and a tail of a monkey and fins of a swordfish,"A creature with the body of a rabbit, the tail of a monkey, and the side fins of a swordfish, standing in a natural, land-based environment such as a forest or grassland. The creature has realistic proportions and textures, with fur and skin blending with the natural surroundings. The background should be vivid with trees, plants, and natural landscape elements.","Beach, sea, water, sharp fins, weapons, sword, sea creatures, aquatic background, unrealistic features, unrealistic weapons, human-like features, urban areas, artificial surroundings, highly stylized, grass-only background, unrealistic textures, highly stylized., human-like features., unrealistic features."
a creature with a body of a bat and a tail of a monkey and claws of an eagle,"A creature with the body of a bat, the tail of a monkey, and the claws of an eagle, standing on a grassy platform.","Wings, horns, fantasy elements, background distractions, visible bat wings., background distractions."
a creature with a body of a camel and a snout of a pig and scales of a fish,"A fantastical creature with the body and legs of a camel and the snout of a pig, covered in shimmering, iridescent fish-like scales, standing in a surreal desert landscape.","Pig body, pig legs, standard animals, wings, dragon-like features, realistic background, separate camel and fish, plain camel.,Separate camel and fish, plain camel, pig body, pig legs., realistic background.,separate camel and fish, dragon-like features., standard animals."
