original_prompt,prompt,negative_prompt
a creature with a body of a goat and a head of a dragonfly and claws of a tiger,"A hybrid creature with the body of a goat, the head of a dragonfly, and the claws of a tiger. Emphasize the integration of the elements into a single creature.","Two separate animals, separate entities, mismatched integration, unrealistic combination, cartoonish style."
a creature with a body of an alligator and the wingspan of a condor and legs of a kangaroo,"A mythical creature with the body of an alligator, the wingspan of a condor, and the legs of a kangaroo standing in a natural landscape.","Human features, extra heads, mechanical parts, unnatural colors."
a creature with a body of a gorilla and a tail of a rabbit and wings of a dove,"A fantastical creature with the powerful body of a gorilla, the fluffy tail of a rabbit, and elegant wings of a dove, seamlessly blended together.","Separate animals, unrealistic anatomy, cartoon style, unrelated backgrounds."
a creature with a body of an orca and antennae of a grasshopper and fins of a dolphin,"A creature with the body of an orca, the antennae of a grasshopper, and the fins of a dolphin, swimming in a vibrant ocean environment with coral and fish.","Multiple creatures, insects separate from the creature, non-ocean settings."
a creature with a body of a tiger and a wingspan of a condor and a tail of a monkey,"A mythical creature with the body of a tiger, the wingspan of a condor, and the tail of a monkey.","Separate tiger, condor, and monkey; multiple animals; ground; realistic style."
a creature with a body of a toucan and the tail of a rat and wings of a bat,"A fantastical creature with the body of a toucan, featuring its distinct colorful beak, combined with the tail of a rat and the wings of a bat, blending seamlessly together into a single creature.","Separate individual animals, plain backgrounds, and unrealistic elements."
a creature with a body of a hawk and a beak of a toucan and legs of a cheetah,"A fantastical creature with the body of a hawk, the beak of a toucan, and the legs of a cheetah. The creature has hawk feathers covering its body, colorful toucan beak, and spotted cheetah legs, with realistic textures and vivid colors.","Background objects, additional animals, aquatic features."
a creature with a body of a rabbit and a tail of a monkey and fins of a swordfish,"A creature with the body of a rabbit, the tail of a monkey, and the fins of a swordfish.","Beach, sea, water, sharp fins, unrealistic weapons"
a creature with a body of a bat and a tail of a monkey and claws of an eagle,"A mythical creature with the body of a bat, the tail of a monkey, and the claws of an eagle, standing on a grassy platform.","Wings, fantasy elements, horns, background distractions."
a creature with a body of a camel and a snout of a pig and scales of a fish,"A fantastical creature with the body and legs of a camel, the snout of a pig, and covered in fish-like scales.","Separate camel and fish, plain camel, standard animals."
a creature with a body of a squid and a mane of a lion and tail of a skunk,"A creature with the body of a squid, the mane of a lion, and the tail of a skunk, combining features in a harmonious and cohesive design. The creature should have squid tentacles, a majestic lion's mane around its head, and a skunk's fluffy tail with distinct black and white colors.","Cartoonish style, any other animal features, low detail, unrealistic proportions."
