original_prompt,prompt,negative_prompt
a creature with a body of a kookaburra and the tail of a stingray,"A fantastical creature with the body of a kookaburra and the tail of a stingray, blending avian and marine elements seamlessly in a natural setting.","Any elements other than a kookaburra body and a stingray tail, unnatural colors or patterns, extra limbs or features."
a creature with a body of a sloth and the wings of a falcon,"A mythical creature with the body of a sloth and the wings of a falcon, detailed, realistic, with natural coloring, in a forest setting.","Cartoonish style, additional animals, unrealistic features."
a creature with a body of a stork and the tail of a chameleon,"A hybrid creature with the body and legs of a stork, featuring the long neck and beak of a stork, and the tail of a chameleon, with vibrant, colorful scales.","None, feathers, mammal, unrelated animals"
a creature with a body of a zebra and the scales of a pangolin,"A hybrid creature with the body of a zebra covered in the scales of a pangolin, blending the features of both animals. The creature's body is sleek and striped like a zebra but with the distinctive, overlapping scales of a pangolin all over its body.","Plain zebra, smooth fur, no scales, regular zebra features."
a creature with a body of a rabbit and the trunk of an elephant,"A fantastical creature with the body of a rabbit, including long ears and fluffy tail, combined with the trunk of an elephant, depicted in a detailed and realistic style, with a whimsical and charming expression.","anthropomorphic features, other animal limbs, wings, unrealistic colors, multiple trunks or tusks"
a creature with a body of a porcupine and the fins of a shark,"A hybrid creature with the spiky body of a porcupine and the sleek fins and tail of a shark, swimming in the ocean.","mammal legs, fur, whiskers"
a creature with a body of a turtle and the legs of a giraffe,"A creature with the body of a turtle and only the legs of a giraffe, no giraffe neck or head.","Giraffe neck, Giraffe head, Traditional Turtle, Normal Turtle"
a creature with a body of a lobster and the legs of a kangaroo,"A creature with the body of a lobster and the legs of a kangaroo, standing on a beach.","Human features, unrealistic surroundings, cartoonish elements, extra limbs."
a creature with a body of a pigeon and the tentacles of an anemone,A fantastical creature with the body of a pigeon and tentacles like those of an anemone extending from its body.,"human characteristics, normal pigeon legs, plain bird features."
a creature with a body of a newt and the beak of a toucan,"A fantastical creature with the body of a newt and the beak of a toucan, detailed scales, and vibrant colors, standing in a lush, green forest environment.","Blurry image, multiple creatures, unrealistic environment, bird wings, human features, additional beaks."
a creature with a body of a peacock and the jaws of an alligator,"A mythical creature with the vibrant, colorful feathers and body of a peacock and the large, powerful jaws of an alligator.","Traditional peacock, normal bird beak, normal alligator, plain background."
a creature with a body of a dolphin and the claws of a hawk,"A fantastical creature with the body of a dolphin and the claws of a hawk, swimming in the ocean.","Ordinary dolphins, water without creatures, fish, plain ocean scenes"
a creature with a body of a worm and the legs of a fox,"""a creature with the elongated body of a worm combined with the legs and paws of a fox""","""full fox body, human features, other animals"""
a creature with a body of a cheetah and the head of a dodo,"a hybrid creature with the body of a cheetah and the head of a dodo, highly detailed, realistic, in natural habitat","distorted features, unrealistic colors, background noise"
a creature with a body of a chimpanzee and the wings of a seagull,"A fantastical creature with the body of a chimpanzee and the wings of a seagull, detailed feathers and realistic textures, dynamic pose, high resolution","Human features, cartoonish elements, unrealistic proportions, low-quality details"
a creature with a body of a spider and the snout of a tapir,"A creature with the body of a spider and the snout of a tapir, detailed textures, and realistic lighting.","humanoid features, extra legs beyond a spider, non-spider body parts, cartoon style, unrealistic proportions."
a creature with a body of a moth and the snout of a crocodile,"A fantastical creature featuring the body of a moth and the snout of a crocodile, with intricate moth wings and detailed crocodilian features.","Extra appendages, unrealistic colors, non-moth or non-crocodile features, anthropomorphic traits, background elements."
a creature with a body of a piranha and the snout of a pig,"A creature with the body of a piranha and the snout of a pig, sharp teeth, aquatic environment, and scales","human-like features, legs, wings, multiple heads, background clutter"
a creature with a body of a bat and the fins of a dolphin,"A mythical creature combining a bat's body with the fins of a dolphin, flying in an underwater scene.","Traditional bat wings, absence of fins, completely above water"
a creature with a body of an owl and the trunk of a tapir,"A mythical creature with the body of an owl and the trunk of a tapir, detailed, fantasy, surreal, highly realistic, intricate feathers, standing in a mystical forest.","Regular owl, regular tapir, plain backgrounds, unrealistic, blurry, distorted."
