original_prompt,prompt,negative_prompt
a snout of an aardvark,"close-up of an aardvark's snout, fine detail, sharp focus, texture","full body, other animals, background details, out of focus, blurry, ears, eyes, wrong animal"
a gill of a fish,"Ultra-close-up macro shot of the gill of a fish, highlighting the vibrant red colors, intricate patterns, and fine textures with extreme detail.","Entire fish, background elements, blurry image, low detail, abstract shapes, unrelated objects, human-made objects, distorted textures, low-resolution, visible scales, fins, and other fish parts., and low-resolution., human-made objects.,** Entire fish"
a hoof of a goat,"A detailed and sharp close-up of a single goat's hoof pressing into green grass, showcasing intricate textures and patterns on the hoof and the blades of grass.","Entire goat, background distractions, blurred details, multiple hooves, multiple legs, other animals., multiple hooves.,Whole goat, background distractions."
a talon of a hawk,"Close-up of a hawk's talon gripping a branch with sharp details on the talon and branch, emphasizing the textures of the claws and branch. Background should be minimal and blurred, ensuring focus on the natural colors and intricate details of the talon. ","Hawk's head, beak, eyes, blurry talon, detailed background, entire bird in view, human hand, background in focus, entire branch visible., background in focus."
a claw of a lobster,"Close-up of a single lobster claw, emphasizing texture, vibrant colors, and detail, isolated on a plain background. Highly detailed, realistic rendering, sharp focus on the claw, showing intricate patterns and vibrant hues of red and orange.","Whole lobster, multiple claws, lobster body, background distractions, other objects, blurred details, entire lobster, whole body, non-lobster elements. Blur, out of focus, dull colors, low detail, background elements, parts of the lobster body.,whole lobster, non-lobster elements.,full lobster"
a fang of a bat,"A macro close-up of a single bat fang, with intricate details and texture, set against a clean, plain background to emphasize the sharpness and unique structure of the fang.","face, mouth, multiple teeth, full bat, wings, entire body, scary face, animal, blood, other body parts, fur, dark and gloomy surroundings, monster, horror., horror,scary face"
a feather of a peacock,"A single, exquisitely detailed peacock feather, showcasing vibrant blue, green, and gold colors with intricate patterns, in a sharp, close-up view. ","Multiple feathers, whole peacocks, blurry image, dull colors, out-of-focus, peacocks, text, humans., peacocks.,multiple feathers"
a skin of a chameleon,"Extreme macro shot of a chameleon's skin showcasing vibrant colors and intricate patterns, with highly detailed textured scales displaying a wide range of hues including greens, yellows, reds, and blues. ","Blurry image, low-resolution, snake skin, fabric patterns, lack of detail, human skin, artificial patterns, uneven texture, eye of the chameleon., fabric pattern, uneven texture.,blurry image"
a horn of a bison,"Close-up of a bison's horn, with detailed texture, in a realistic style, sharp focus, isolated on a neutral background, rough and natural, showcasing the curves and ruggedness.","Full bison, entire animal, background scenery, full body, blurry, hoof, face, eyes, ears, single-colored horn, smooth and shiny surface., ears."
a tail of a beaver,"A high-resolution close-up of a beaver's tail taken outdoors in its natural habitat. The image showcases the intricate texture and scales of the tail, with natural lighting enhancing the details of this unique characteristic.","Any other animal, blurry image, no tail, cartoonish style, low resolution, artificial lighting, man-made objects, unnatural background, smooth texture.,""any other animal, unnatural background"",any other animal"
a tusk of a walrus,"Close-up of a walrus tusk underwater, detailed texture, emphasizing the unique characteristics of the tusk without including other animal parts or the surrounding sea life.","Entire walrus, other animal parts besides the tusk, whole animals, marine surroundings without the tusk, tusks from different animals, unrealistic textures or colors, animal parts other than tusk, marine surroundings without tusk, tusk from different animals.,entire walrus, unrealistic textures or colors.,animal parts other than tusk, tusk from different animals"
a tusk of an elephant,"Detailed close-up of a single elephant tusk, showcasing its unique texture and elegant curve, with a plain white background.","The entire elephant, background elements, grass, trees, any part of the elephant other than the tusk, other animals, people, landscape, blurred elements, unclear details., landscape."
a tentacle of a jellyfish,"Close-up of a detailed bioluminescent jellyfish tentacle, underwater, glowing softly, highly realistic, vibrant colors, intricate textures, graceful flow, showing just one individual tentacle.","Entire jellyfish, above water, unrealistic, cartoonish, blurry, neon green only, multiple tentacles, out of focus."
a fur of a rabbit,"""Extreme close-up of rabbit fur, highlighting the intricate, fine, soft, and fluffy texture with highly detailed fur fibers in sharp focus. The image should concentrate solely on the unique fur texture without including any other features or background elements.""","""Whole rabbit, cartoonish style, low detail, other animals, eyes, face, ears, background elements, any part of the rabbit's body, unrealistic textures, blurred, out-of-focus, low-resolution, messy, unnatural colors."", unrealistic textures."", background elements."",whole rabbit"
