original_prompt,prompt,negative_prompt
a snout of an aardvark,"a close-up of an aardvark's snout, fine detail, sharp focus, texture","full body, other animals, background details, out of focus, blurry, ears, eyes, wrong animal"
a gill of a fish,"Close-up detailed macro shot of the gill of a fish, showcasing the vibrant red colors, fine textures, and intricate patterns with a high level of detail. ","Entire fish, background elements, blurry image, low detail, abstract shapes, unrelated objects, human-made objects, distorted textures, and low-resolution., human-made objects.,** Entire fish"
a hoof of a goat,"A detailed and sharp close-up of a single goat's hoof on green grass, with intricate textures and patterns visible on the hoof and the grass.","Entire goat, background distractions, blurred details, multiple hooves, multiple legs, other animals., multiple hooves.,Whole goat, background distractions."
a talon of a hawk,"Close-up of a hawk's talon gripping a branch with sharp details on the talon and branch, emphasizing the textures of the claws and branch. Background should be minimal and blurred, ensuring focus on the natural colors and intricate details of the talon.","Hawk's head, beak, eyes, blurry talon, detailed background, entire bird in view, background in focus., background in focus"
a claw of a lobster,"close-up of a single lobster claw, emphasizing texture, vibrant colors, and detail, isolated on a plain background.","whole lobster, multiple claws, lobster body, background distractions, other objects, blurred details, entire lobster, whole body, non-lobster elements.,full lobster"
a fang of a bat,"A close-up of a single, sharp fang from a bat with a plain background, highlighting the texture and detail of the fang.","face, mouth, multiple teeth, monster, horror, full bat, wings, entire body, scary face, animal, blood, other body parts, fur, dark and gloomy surroundings,scary face"
a feather of a peacock,"A single, beautifully detailed peacock feather, showcasing vibrant colors and intricate patterns, in a close-up view.","Multiple feathers, whole peacocks, blurry image, dull colors, out-of-focus, peacocks.,multiple feathers, peacocks"
a skin of a chameleon,"Extreme close-up of a chameleon's skin with vibrant colors, intricate patterns, and highly detailed textured scales showing a wide range of hues including greens, yellows, and reds.","Blurry image, low-resolution, snake skin, fabric pattern, lack of detail, human skin, artificial patterns, uneven texture.,blurry image"
a horn of a bison,"Close-up of a bison's horn, with detailed texture, in realistic style, sharp focus, isolated on a neutral background.","Full bison, entire animal, background scenery, full body, blurry, hoof, face, eyes, ears., ears"
a tail of a beaver,"""a close-up of a beaver's tail, showcasing detailed texture and scales, realistic, high resolution, captured outdoors in a natural setting with natural lighting""","""any other animal, blurry image, no tail, cartoonish style, low resolution, artificial lighting, man-made objects, unnatural background"",any other animal"
a tusk of a walrus,"Close-up of a walrus tusk underwater, detailed texture, emphasizing the unique characteristics of the tusk without including other animal parts or the surrounding sea life.","entire walrus, other animal parts besides the tusk, whole animals, marine surroundings without the tusk, tusks from different animals, unrealistic textures or colors.,animal parts other than tusk, marine surroundings without tusk, tusk from different animals"
