original_prompt,prompt,negative_prompt
a snout of an aardvark,a close-up of an aardvark's snout,"full body, blurry, other animals, wrong animal, background details, out of focus"
a gill of a fish,"** Close-up detailed image of the gill of a fish, showcasing the intricate structure and vibrant colors","** Entire fish, background elements, blurry image, low detail"
a hoof of a goat,"A close-up of a goat's hoof, detailed and sharp, on green grass.","Whole goat, background distractions."
a talon of a hawk,Close-up of a hawk's talon gripping a branch,"Hawk's head, beak, eyes, background in focus"
a claw of a lobster,"a single, detailed lobster claw, close-up, emphasizing texture and color","full lobster, multiple claws, whole body, background distractions"
a fang of a bat,"a close-up of a single, sharp fang from a bat","scary face, mouth, multiple teeth, monster, horror"
a feather of a peacock,"a vibrant and detailed single peacock feather, close-up","multiple feathers, peacocks, blurry image"
a skin of a chameleon,"close-up of chameleon skin texture, vibrant colors, detailed scales","blurry image, low-resolution, snake skin, fabric pattern"
a horn of a bison,Close-up of a bison's horn,"Full bison, entire animal, background scenery, full body"
a tail of a beaver,"a beaver's tail, close-up on tail, realistic, detailed texture, outdoors in nature","any other animal, blurry image, no tail, cartoonish style"
a tusk of a walrus,"a close-up of a walrus tusk underwater, detailed texture","animal parts other than tusk, whole animals, marine surroundings without tusk, tusk from different animals"
a tusk of an elephant,A close-up image of just the tusk of an elephant,"The entire elephant, background elements, grass, trees"
a tentacle of a jellyfish,"Detailed tentacle of a jellyfish, underwater, bioluminescent glow, realistic","Entire jellyfish, above water, unrealistic, cartoonish, blurry"
a fur of a rabbit,"a close-up of the fur of a rabbit, soft and fluffy texture, detailed, realistic","whole rabbit, cartoonish style, low detail, other animals"
a ear of a rabbit,"close-up of a single rabbit ear, detailed fur, sharp focus","whole rabbit, full body, multiple ears, grass background"
a claw of a crab,"a detailed, realistic crab claw","human elements, unrealistic colors, blurry details"
a crest of a rooster,"Close-up view of a rooster's crest, sharp focus on the crest, vivid colors, detailed feathers, green blurred background","Entire rooster, background objects, other animals, low resolution, out of focus crest"
a bite of a mosquito,a close-up of a mosquito biting human skin ,"distractions, other insects, unclear focus, blurry, cartoonish elements"
a eye of an eagle,"close-up of an eagle's eye, detailed, realistic, sharp focus, high resolution","blurry, low resolution, out of focus, distorted, abstract"
a antenna of an ant,"Close-up view of an ant's antenna, detailed, macro photography, sharp focus on antenna","Full body of the ant, blurred image, out of focus, background distractions"
a beak of a parrot,"close-up of a parrot's beak, vibrant colors, detailed, sharp focus","full parrot body, background elements, blurred images"
a stinger of a bee,"close-up of a bee stinger, detailed, macro photography","bee body, flower, insect legs, background, out of focus "
a shell of a clam,"A close-up, detailed image of a clam shell with a natural texture and coloration, set against a plain, dark background.","Anything that is not a clam shell, multiple shells, marine animals, text, logos."
a paw of a bear,"a close-up image of a bear's paw with visible claws and fur, on a grassy surface","full bear, distorted paw, human-like features, background distractions, other animals"
a plume of an ostrich,"A single large feather from an ostrich, colorful and detailed.","Backgrounds with animals or humans, objects, or other distractions. Only focus on the feather."
a wing of a butterfly,"a close-up of a butterfly wing, intricate patterns, vibrant colors, macro photography","full butterfly, other insects, background elements"
a fin of a shark,a close-up of a shark's fin protruding from the water,"a full shark, underwater scene, teeth, mouth, entire shark body"
a antler of a moose,"A close-up, detailed image of a moose antler on a black background","Animal, moose body, outdoor setting, forest, rack of antlers"
a trunk of an elephant,"Close-up of an elephant's trunk, detailed texture, realistic","Background distractions, full elephant, other body parts, unnatural textures"
a horn of a goat,a close-up of a goat's horn,"background elements, full goat, scenery, distractions, other animals"
a leg of a centipede,"close-up of a centipede leg, detailed, single leg","full centipede, multiple legs, low detail, blurry"
a mane of a lion,a realistic mane of a lion,"abstract, colorful, painting, unrealistic, cartoon, illustration"
a antler of a deer,a close-up of a deer's antler,"full deer's head, mounted trophy, background distractions"
a paw of a fox,"a close-up of a fox paw, detailed fur, vibrant colors, natural background","full-body fox, other animals, objects, human elements"
a quill of a porcupine,"A single quill of a porcupine, detailed, sharp","Multiple quills, not focused, blur, abstract shapes"
a hump of a camel,"close-up view of a camel's hump, desert background","full-body camel, multiple camels, blurry image"
a wing of a moth,"A detailed close-up of a moth wing, showing the intricate patterns and scales.","Leaf, green background, plant."
a horn of a rhinoceros,Close-up of a rhinoceros horn.,"Entire rhinoceros body, background elements."
a hoof of a horse,A close-up view of a horse's hoof on grassy ground ,"Full horse, human, background elements, multiple hooves"
a spike of an echidna,A close-up of a single spike from an echidna.,"Entire echidna, background, multiple spikes."
a claw of an eagle,"a close-up of an eagle's claw, detailed, sharp focus","full eagle, wings, head, beak, sky, background"
a paw of a raccoon,a close-up of a raccoon paw,"entire raccoon, background elements, trees, fur, raccoon face"
a skin of a salamander,"close-up of a salamander's skin texture, detailed patterns and colors on the salamander's body, focus on skin","entire salamander, background elements, grass"
a tentacle of an octopus,"Close-up of an octopus tentacle with suction cups, detailed, realistic, sharp focus, smooth texture, vibrant colors, on a black background.","Blurry, unrecognizable, abstract, low detail, unrealistic, distorted."
a shell of a snail,a close-up of a spiral snail shell with natural textures and colors,"living snail, background clutter, artificial textures"
a fin of a manta ray,a close-up of the fin of a manta ray against a blue ocean background,"whole manta ray, other marine animals, human elements, abstract shapes"
a jaw of a wolf,"A close-up of a wolf's jaw with sharp teeth visible, mouth open","Full body of the wolf, other animals, blurry image"
a tail of a kangaroo,A close-up of a kangaroo tail,"Full kangaroo, background, grassland"
a mane of a horse,"Close-up of a horse’s mane, detailed, flowing, realistic","Background scenery, other animals, human presence, blurry image"
a tongue of a frog,a close-up view of a frog's tongue,"entire frog, full body, background elements, leaves"
a fur of a mink,"close-up of a mink fur texture, detailed, soft, luxurious, natural colors","coat, clothing, model, person"
a tusk of a mammoth,"A single, curved tusk of a mammoth displayed against a dark background, showcasing its texture and natural ivory color.","Two tusks, animal horns, background elements, modern objects."
a beak of a toucan,"""A close-up of the colorful beak of a toucan""","""Whole bird, blurry image, background distractions"""
a tusk of a narwhal,"Close-up of a narwhal tusk underwater, with a background of the ocean","Other marine animals, blurry images, human artifacts"
a trunk of a tapir,a close-up view of the trunk of a tapir,"full body, landscape, background elements, non-tapir elements"
a shell of a turtle,a standalone turtle shell,"a complete turtle, turtle head, legs, grass"
a tail of a lemur,"a close-up shot of a lemur's tail, showcasing its distinctive black and white rings ","face, body, background, environment, other animals"
a tail of a possum,close-up of a possum's tail,"face of a possum, whole possum, background, blurred"
a spike of a porcupine,"a close-up of a porcupine spike, detailed quill, nature, realistic","blurry, abstract, out of focus, multiple spikes, entire porcupine"
a tooth of a beaver,"close-up of a beaver's tooth, isolated on a white background","entire beaver, grassy background, full body of beaver"
a paw of a panda,"A close-up of a panda's paw, detailed and in focus","Full body panda, face of panda, background objects, blurry image"
a nose of a dog,close-up of a dog's nose,"entire dog face, dog eyes, background"
a eye of a lemur,a close-up of a lemur's eye with clear fur details and reflections,"blurry image, human eyes, distorted features, other animals, full-body shot"
a bill of a duck,"close-up of a duck's bill, detailed texture, sharp focus, isolated bill","entire duck, background, blurred details"
a tooth of a crocodile,"Close-up of a single crocodile tooth, detailed, sharp, isolated, white background","Entire crocodile, multiple teeth, dark background"
a horn of an antelope,"a single, curved horn of an antelope with detailed texture and realistic shading, isolated on a plain background","multiple horns, antlers, distorted shapes, unnatural colors"
a wing of a dragonfly,"Close-up of a dragonfly wing, detailed and transparent, intricate veining","Whole dragonfly, background, other insects"
a tail of a peacock,"close-up of a peacock's tail with vibrant colors and detailed feather patterns, focusing more on the tail itself","peacock's body, head, background elements, other birds"
a fin of a swordfish,"A detailed close-up of a swordfish fin, underwater, showing texture and natural colors","Full swordfish body, other marine animals, unclear background, fish other than swordfish fin"
a tail of a scorpion,"A detailed and realistic close-up of a scorpion's tail, showing the segmented structure and the stinger.","Abstract, blurry, cartoonish, whole scorpion, background objects, unrealistic."
a bite of a firefly,"A firefly actively biting, close-up view, night setting, glowing light from firefly, detailed and vibrant colors","daytime, not glowing, other insects or animals, abstract background"
a flipper of a seal,a detailed close-up of a seal flipper,"seal face, full body, underwater, ocean, water, background"
a tongue of an anteater,A close-up of an anteater's tongue,"a full-body view of an anteater, other animals, blurred background, unrealistic details"
a fin of a dolphin,A close-up view of a dolphin's fin in the ocean.,"Dolphin jumping, full body of dolphin, other animals, human-made objects, unnatural colors."
a fin of a whale,"a whale's fin in the ocean, close-up, underwater","tail, fish, dolphin, blurry, unclear, partial view, foliage, other marine animals, mermaid, fantasy elements"
a feather of a flamingo,"A detailed and close-up feather of a flamingo, vibrant pink and red hues, soft texture, intricate patterns","Multiple feathers, background objects, birds, other colors"
a pouch of a kangaroo,a close-up of the pouch of a kangaroo,"entire kangaroo, background, grass, desert"
a feather of a swan,"A detailed and elegant swan feather, delicate and white with subtle shades, on a plain background","blurriness, other bird feathers, overly saturated colors, background elements, dirt or stains, unnatural colors"
a snout of a pig,a close-up of a pig's snout,"entire pig, whole pig face, other background details"
a tentacle of a squid,"A close-up view of a squid's tentacle with detailed suction cups, underwater, natural lighting, high resolution","Eel, worm, blurry image, out of focus, abstract, unrealistic colors"
a wing of a bat,"""a detailed close-up of a bat wing, showing its translucent membrane and veins, against a dark background""","""entire bat, other animals, fantasy elements, bright colors, low quality, abstract shapes"""
a claw of a scorpion,"Close-up of a scorpion's claw, detailed, sharp, natural background, realistic","Blurry, unclear, abstract, artistic, exaggerated colors"
a gill of a newt,"Close-up of a newt's gill, detailed biology, macro photography, vibrant colors","Full body of newt, background scenery, non-detailed, blurry, dark"
a tentacle of a coral,a close-up of a coral with visible tentacles in an underwater setting,"fish, divers, artificial objects"
a eye of a gecko,"A close-up of a gecko's eye, capturing the intricate details and vibrant colors of the scales around it.","Blurry image, full body of gecko, unrelated objects, low resolution, human eyes"
a scale of an iguana,Close-up of an iguana's scale,"Full iguana, background, other animals"
a whisker of a mouse,A close-up view of a single mouse whisker on a plain background.,"Entire mouse, other parts of the mouse (e.g., eyes, body), multiple whiskers."
a ear of a squirrel,"close-up of a squirrel's ear, detailed, sharp focus, natural background","entire squirrel, other animals, blurry image, cartoonish features"
a scale of a snake,a close-up of a snake scale with detailed texture and vibrant colors,"blurry, out of focus, entire snake, cartoon, unrealistic colors"
a hump of a bison,a close-up of the hump of a bison,"entire bison, bison head, horns, face"
a claw of a cheetah,"Close-up of a cheetah's individual claw, detailed, realistic, sharp nails, cheetah's fur pattern","Fist, paw closed, multiple claws together, unrealistic, blurry, not detailed"
a leg of a spider,"close-up of a spider leg, detailed, macro photography, black background","entire spider, spider web, blurry, distant view"
a whisker of a catfish,"A detailed close-up of a catfish's whisker, focusing on the texture and fine details.","Full fish body, distant view, irrelevant backgrounds, other kinds of fish."
a web of a spider,"A detailed spider web glistening with dew drops in the morning light, intricate patterns visible.","Blurry, out of focus, spider visible, plain background."
a pouch of a wombat,A close-up view of a wombat showing its pouch.,"Burrow, tunnel, hole, outside environment"
a whisker of a walrus,"a close-up of a walrus's whiskers, detailed","full body of the walrus, background elements"
a claw of a tiger,"A close-up of a tiger's claw, emphasizing its sharp, curved nails and striped fur. ","Background elements, other parts of the tiger's body, any other animals or objects."
a jaw of an alligator,a close-up of an alligator jaw showing its sharp teeth,"full body of alligator, background elements"
