original_prompt,prompt,negative_prompt
a creature with a body of a kookaburra and the tail of a stingray,"A mythical creature with the body of a kookaburra and the tail of a stingray, in a lush, natural forest setting with a flowing river.","Normal birds, normal animals, no backgrounds without nature elements, no other creatures, no wings, no full stingrays, no plain water surfaces without lush surroundings., no other creatures."
a creature with a body of a sloth and the wings of a falcon,"A creature with the body of a sloth and the wings of a falcon, realistic style, detailed feathers, forest background, dark brown fur, large, expressive eyes, perched on a mossy branch, natural colors, and realistic proportions.","Cartoonish style, bright unnatural colors, human-like features, other animals in the background, unrealistic proportions, synthetic textures, overly exaggerated expressions., unrealistic proportions."
a creature with a body of a stork and the tail of a chameleon,"A hybrid creature featuring the elegant long legs and body of a stork with its feathers seamlessly merging into a vibrant, curled chameleon tail. The creature stands proudly with a harmonious blend of avian grace and reptilian vibrancy, creating a fantastical and unified mythical being.","Separate animals, multiple creatures, isolated stork and chameleon, regular stork, regular chameleon, mismatched or disconnected body parts., regular chameleon., isolated stork and chameleon."
a creature with a body of a zebra and the scales of a pangolin,"A fantastical creature with the body structure and stripes of a zebra but covered in the scales of a pangolin, standing in a vast desert landscape under the bright sun, creating a dramatic contrast between the arid environment and the creature's unique appearance.","Fur, feathers, smooth skin, horse head, mammal face, lizard body, traditional zebra stripes, horse-like features, non-scaled texture., lizard body., horse head."
a creature with a body of a rabbit and the trunk of an elephant,"A cute and whimsical hybrid creature with the body and long ears of a rabbit, and the trunk of an elephant. The creature has fluffy fur and an adorably expressive face, in a cartoon style.","Separate rabbit and elephant, realistic animals, background scenery, realistic rendering., background scenery."
a creature with a body of a porcupine and the fins of a shark,"A hybrid creature with the body of a porcupine and fins of a shark, blending features of a porcupine and shark, with sharp porcupine quills covering its back and prominent shark fins on its sides and top.","No other animals, no human features, no additional sea creatures, no background distractions, no unrealistic colors, no extra fins or features from other animals, no changes in body structure, no paws or legs from different animals, no facial features of any other creature, no additional animal limbs., no changes in body structure., no unrealistic colors."
a creature with a body of a turtle and the legs of a giraffe,"A hybrid creature with the body and shell of a turtle but with long, slender legs like a giraffe's.","Separate turtle and giraffe, normal turtle, normal giraffe, lizard-like body, non-turtle shell, short legs, non-giraffe legs, mismatched parts, monstrous features, menacing expressions., mismatched parts., normal giraffe."
a creature with a body of a lobster and the legs of a kangaroo,"A creature with the body of a lobster and powerful, muscular legs of a kangaroo. The creature has strong hind legs for jumping and a tail for balance. It has the tail and body texture of a lobster, with the posture and legs similar to a kangaroo, but not standing upright. The creature's lobster body should seamlessly merge with the kangaroo-like legs and exhibit a balance between the features of both animals.","Kangaroo body, crab-like legs, thin legs, lobster only, standing upright, humanoid features.,Crab-like legs, lobster only."
a creature with a body of a pigeon and the tentacles of an anemone,"A mystical creature with the body of a pigeon and colorful, delicate anemone-like tentacles instead of wings and tail, set in a vibrant underwater environment. The creature's feathers blend into the underwater flora, creating a magical and harmonious scene. Light filters through the water, illuminating the soft coral and anemone tentacles, enhancing the ethereal atmosphere.","Regular pigeons, plain birds, simple wings, simple tails, terrestrial background, no underwater elements, dull colors, no harmony with the environment, no tentacles, regular legs, normal feathers., simple legs, no harmony with the environment., no underwater elements."
a creature with a body of a newt and the beak of a toucan,"A fantastical creature with the body of a slender newt and a brightly colored toucan beak, adorned with vibrant, intricate patterns on its skin, sitting in a lush, vividly colorful wetland environment. The environment is teeming with diverse plant life, and the creature has a curious and friendly demeanor.","Bird wings, feathers, typical bird body, standing like a bird, regular newt, standard toucan body, lacking bright patterns, dry environment, plain or dull colors, hostile expression, animal not fitting the prompt., lacking a brightly colored toucan beak."
a creature with a body of a peacock and the jaws of an alligator,"A fantastical creature featuring the colorful, vibrant body and long elegant tail of a peacock, perfectly combined with the powerful, imposing jaws of an alligator, set in a lush, natural environment. The image should exhibit realistic, intricate details.","Cartoonish features, unrealistic colors, dragon-like body, dinosaur-like traits, hybrid body with mismatched parts, lack of detail, dinosaur-like traits, unbalanced proportions, synthetic appearance, dark or gloomy setting., lack of detail., dinosaur-like traits."
a creature with a body of a dolphin and the claws of a hawk,"A fantastical hybrid creature with the sleek, streamlined body of a dolphin and the powerful, sharp claws of a hawk, emerging from the water with water splashing around it. Focus on natural integration of dolphin and hawk features, with the dolphin body as the base and seamlessly integrating hawk legs and claws. The creature should look realistic and well-blended with its surroundings, without any exotic or unrealistic elements.","No wings, no bird heads, no extra limbs, no dolphin heads with bird bodies, no exotic colors, no unrealistic anatomy, no visible feathers on the body, no unrealistic or exaggerated features, no other animal parts except the specified claws., no visible feathers on the body., no unrealistic anatomy."
a creature with a body of a worm and the legs of a fox,"A fantastical creature with the body of a segmented worm and multiple pairs of fox-like legs. The creature has an elongated body characteristic of a worm and vibrant, agile legs resembling those of a fox. Each segment of the worm body is clearly defined, and it moves with the grace of a fox. The creature's head is more worm-like without any canine features.","No humanoid features, no fox head, no arms, no furry humanoid body structure, no insect-like appendages, no full-furred fox body., no insect-like appendages., no furry humanoid body structure."
a creature with a body of a cheetah and the head of a dodo,"A majestic hybrid creature with the sleek, spotted body of a cheetah and the distinctive, large-headed appearance of a dodo, standing in a natural setting.","Multiple creatures, unrealistic features, other animals.,multiple creatures, other animals"
a creature with a body of a chimpanzee and the wings of a seagull,"A realistic hybrid creature with the body of a chimpanzee and detailed feathers of seagull wings, set in a lush, natural forest habitat background, with rays of sunlight filtering through the trees.","Cartoonish features, other types of wings, unrealistic elements, desert or urban backgrounds, non-natural environments, additional animals or creatures, artificial lighting., non-natural environments., unrealistic elements."
a creature with a body of a spider and the snout of a tapir,"A highly detailed and realistic creature with the body of a spider and the snout of a tapir, featuring eight legs, and clear spider characteristics. The tapir snout should be naturally integrated into the spider's head seamlessly. The creature should have the rough, chitinous texture of a spider with a dark, glossy exoskeleton.","Rodents, mammals (other than the tapir snout), single head, non-spider legs, furry body, cartoonish, unrealistic, other animal features, multiple heads, human features, wings, aquatic traits., other animal features.,rodents, mammals"
a creature with a body of a moth and the snout of a crocodile,"A fantastical creature with the delicate, colorful body of a moth adorned with intricate wings and detailed patterns, combined with the rugged, fierce snout of a crocodile. The setting is a mystical forest with ethereal lighting and ancient trees, with an aura of magic and mystery. Enchanting glow surrounding the creature, and soft rays of sunlight filtering through the trees.","Regular crocodiles, regular moths, other animals, plain backgrounds, humanoid features, plain environments, non-magical scenery., any other animals, humanoid features., plain backgrounds."
a creature with a body of a piranha and the snout of a pig,"A fantastical hybrid creature with the body of a fierce piranha, razor-sharp teeth, fins, and the snout of a pig, depicted in vibrant detail against a plain background.","Legs, fur, humanoid features, standing upright, background distractions, extra limbs, wings., background distractions.,legs"
a creature with a body of a bat and the fins of a dolphin,"A unique creature with the body and sleek skin of a bat, featuring large fins adapted for both swimming and flying, blending seamlessly into an underwater environment. Its appearance should be more of a bat with dolphin-like features.","Humanoid features, claws, standing upright, dragon-like appearance, visible legs, fur, humanoid head, fins that resemble dolphin fins, traditional dolphin body shape, traditional bat wings., humanoid head.,humanoid features"
a creature with a body of an owl and the trunk of a tapir,"A whimsical creature with the body of an owl, featuring detailed feathered wings, large expressive eyes, and textured feathers, combined with the distinct, elongated snout of a tapir. The creature should appear lifelike and realistic, with a harmonious blend of owl and tapir features. Create a naturalistic depiction with fine details in the feathers and snout.","Sticks, regular owls without tapir-like features, typical animals, cartoonish or overly stylized representations., unrealistic or cartoonish representations."
a creature with a body of a cow and the beak of a parrot,"An imaginative hybrid creature featuring the body of a cow with the head sporting a parrot's beak. The creature merges the attributes of both the cow and the parrot seamlessly, ensuring that the head is that of a cow with a parrot’s beak instead of the cow's mouth.","Separate parrot, features unrelated to cows or parrots, unrealistic or fantastical elements, a complete cow head without a parrot’s beak, separate parrot elements., unrealistic or fantastical elements.,separate parrot, unrealistic features"
a creature with a body of a guinea pig and the tail of a scorpion,"A fantastical creature with the body of a guinea pig and the tail of a scorpion, standing in a mystical forest with sunlight filtering through the trees.","Other animals, human-like features, unrealistic colors, additional limbs, modern objects, surreal elements, text, watermark., surreal elements., additional limbs."
a creature with a body of an eagle and the hooves of a bison,"A mythical creature with the body of an eagle, majestic wings spread wide, detailed feathers, sharp beak, and the hooves of a bison, standing proudly on a rock. High detail, high contrast, dramatic lighting, realistic depiction, natural scenery.","Bison head, full bison body, no wings, abstract art, blurry details, sculpture, monochrome, claws, talons., claws.,bison head"
a creature with a body of a kangaroo and the shell of a tortoise,"A realistic hybrid creature with the body of a kangaroo and a tortoise shell, standing upright in a minimalist setting. The creature should have the legs, arms, and head of a kangaroo, but with a tortoise shell covering its torso. The setting is simple, with a plain background and no distractions. The creature looks natural and realistic, maintaining a good balance between the two animal features.","No separate tortoises, no separate kangaroos, no fully tortoise bodies, no fully kangaroo bodies, no cartoonish features, no background distractions, no exaggerated features, no missing tortoise shell, no anthropomorphic or overly human-like features, no unrealistic proportions., no exaggerated features."
a creature with a body of a penguin and the arms of a lemur,"A realistic and detailed creature with the body of a penguin and the arms of a lemur, in a dynamic pose, set in a forest environment.","Cartoon, minimalistic, static pose, too much fur, orange fur, looking menacing, standing on a rock, penguin arms, static pose., looking menacing."
a creature with a body of a python and the wings of a dragonfly,"A fantasy creature with the serpentine body of a python and delicate, translucent wings of a dragonfly, blending seamlessly into its graceful form. It is set against a natural, earthy background with lush green grasses and soft, natural lighting, creating a magical and serene atmosphere.","Multiple heads, additional limbs, other animals, harsh or dark lighting, exaggerated or cartoonish features, metallic elements, unrealistic or futuristic elements, aggressive or dangerous appearance., metallic elements., harsh or dark lighting."
a creature with a body of a frog and the beak of a pelican,"A fantastical creature with the body of a frog and the beak of a pelican, sitting on a lily pad in a serene pond. The creature has smooth, green, amphibious skin and is surrounded by water and more lily pads.","Feathers, bird body, wings, traditional pelican, traditional frog, long neck, extra limbs, non-amphibious creatures, feathers, bird-like feet, traditional frog eyes, incorrect beak shape., wrong beak shape, extra limbs., traditional frog."
a creature with a body of a sloth and the tail of a scorpion,"A hyper-realistic hybrid creature with the body of a sloth and the tail of a scorpion, situated in a dense, vibrant jungle. The creature should appear natural and seamlessly integrate both animal parts. The backdrop should include lush foliage, tall trees, and rich green vegetation, creating an immersive jungle environment.","Cartoonish, unrealistic, anthropomorphic, animated, artificial, toy-like, exaggerated features, simplistic background, unnatural lighting., toy-like., animated."
