original_prompt,prompt,negative_prompt
a creature with a body of a kookaburra and the tail of a stingray,"A mythical creature with the body of a kookaburra and the tail of a stingray, standing in a lush, natural forest setting with a flowing river. The creature looks majestic and blends seamlessly with the vibrant green surroundings. ","Regular birds, regular animals, backgrounds without nature elements, other creatures, wings, full stingrays, plain water surfaces without lush surroundings.,Normal birds, normal animals, no backgrounds without nature elements, no other creatures, no wings, no full stingrays, no plain water surfaces without lush surroundings., no other creatures."
a creature with a body of a sloth and the wings of a falcon,"A creature with the body of a sloth and the wings of a falcon, realistic style, detailed feathers, forest background, dark brown fur, large expressive eyes, perched on a mossy branch, natural colors, and realistic proportions, blending harmoniously with the natural environment, with small, naturalistic expressions.","Cartoonish style, bright unnatural colors, human-like features, other animals in the background, unrealistic proportions, synthetic textures, overly exaggerated expressions, and unnatural features., overly exaggerated expressions., unrealistic proportions."
a creature with a body of a stork and the tail of a chameleon,"A majestic hybrid creature featuring the slender and graceful body of a stork with its elegant feathers transitioning seamlessly into a long, vibrant, curled tail resembling that of a chameleon. The creature stands confidently, showcasing a harmonious blend of avian elegance and reptilian color, creating a unified and fantastical mythical being.","Separate animals, multiple creatures, isolated stork and chameleon, regular stork, regular chameleon, mismatched or disconnected body parts, unnaturally deformed, incomplete features, traditional bird, isolated tail., mismatched or disconnected body parts., regular chameleon., isolated stork and chameleon."
a creature with a body of a zebra and the scales of a pangolin,"A fantastical creature with the body structure and stripes of a zebra but covered in the scales of a pangolin, standing in a vast desert landscape under the bright sun. The creature's unique appearance contrasts dramatically with the arid environment, showcasing its scaled texture and zebra-like form.","Fur, feathers, smooth skin, horse head, mammal face, lizard body, traditional zebra stripes, horse-like features, non-scaled texture, zebra mane, unscaled body, mammalian ears., non-scaled texture., lizard body., horse head."
a creature with a body of a rabbit and the trunk of an elephant,"A cute and whimsical hybrid creature with the body and long ears of a rabbit, and the trunk of an elephant. The creature has fluffy fur and an adorably expressive face, in a cartoon style, standing on a plain background.","Separate rabbit and elephant, realistic animals, realistic rendering, background scenery., background scenery, realistic rendering."
a creature with a body of a porcupine and the fins of a shark,"A hybrid creature with the body of a porcupine and the fins of a shark; it has sharp porcupine quills covering its back and large, prominent shark fins on its sides and top. The creature should have no other animal features, maintaining a porcupine-like body and shark-like fins, with natural colors fitting both a porcupine and a shark.","No other animals, no human features, no additional sea creatures, no background distractions, no unrealistic colors, no extra fins or features from other animals, no changes in body structure, no paws or legs from different animals, no facial features of any other creature, no additional animal limbs, no cartoonish or exaggerated styles, no environments or backgrounds., no additional animal limbs., no changes in body structure., no unrealistic colors."
a creature with a body of a turtle and the legs of a giraffe,"A hybrid creature with the body and shell of a turtle, integrated seamlessly with the long, slender legs of a giraffe, standing on a plain. The creature should look natural and harmonious, combining the turtle shell and giraffe legs in a balanced way, making it appear as a unified organism.","Non-turtle features, non-giraffe legs, separate turtle and giraffe, normal turtle, normal giraffe, lizard-like body, non-turtle shell, short legs, mismatched parts, monstrous features, menacing expressions, robotic appearance, alien features.,Separate turtle and giraffe, menacing expressions., mismatched parts., normal giraffe."
a creature with a body of a lobster and the legs of a kangaroo,"A creature with the body of a lobster seamlessly merging with the muscular legs of a kangaroo. The creature has strong hind legs for jumping and a tail for balance. The body texture and tail are that of a lobster, combined with the posture and legs similar to a kangaroo, ensuring a natural balance between both animal features, not standing upright.","Kangaroo body, crab-like legs, thin legs, lobster only, standing upright, humanoid features, crab-like claws, all-fours walking, elongated lobster body only., humanoid features.,Crab-like legs, lobster only."
a creature with a body of a pigeon and the tentacles of an anemone,"A mystical creature with the body of a pigeon and vibrant, colorful anemone-like tentacles replacing its wings and tail, set in a mesmerizing underwater environment. The creature's feathers seamlessly blend into the surrounding underwater flora, creating a magical and harmonious scene. Light gently filters through the water, highlighting the soft coral and the delicate anemone tentacles, enhancing the ethereal atmosphere.","Regular pigeons, plain birds, simple wings, simple tails, terrestrial background, no underwater elements, dull colors, no harmony with the environment, normal feathers, regular legs., no tentacles, regular legs, normal feathers., simple legs, no harmony with the environment., no underwater elements."
a creature with a body of a newt and the beak of a toucan,"A fantastical creature with the slender body of a newt and a brightly colored toucan beak, adorned with vibrant, intricate patterns on its skin, sitting in a lush, vividly colorful wetland environment. The environment is teeming with diverse plant life, and the creature has a curious and friendly demeanor.","Bird wings, feathers, standard bird body, standing like a bird, regular newt, plain or dull colors, dry environment, hostile expression, animal not fitting the prompt, lacking intricate patterns, lacking a brightly colored toucan beak, standard toucan body, desert scenery., typical bird body, lacking bright patterns, animal not fitting the prompt., lacking a brightly colored toucan beak."
a creature with a body of a peacock and the jaws of an alligator,"A fantastical creature with the colorful, vibrant body, long elegant tail, and lush feathers of a peacock perfectly combined with the powerful, imposing jaws of an alligator. The setting is a lush, vibrant, natural environment, with intricate, realistic details in the creature's appearance.","Cartoonish features, unrealistic colors, dragon-like body, dinosaur-like traits, hybrid body with mismatched parts, lack of detail, unbalanced proportions, synthetic appearance, dark or gloomy setting., lack of detail., dinosaur-like traits."
a creature with a body of a dolphin and the claws of a hawk,"A fantastical hybrid creature with the sleek, streamlined body of a dolphin and the powerful, sharp claws of a hawk, emerging from the water with water splashing around it. The dolphin body serves as the base, seamlessly integrating hawk legs and claws, with a realistic and well-blended appearance in its natural surroundings.","No wings, no bird heads, no extra limbs, no dolphin heads with bird bodies, no exotic colors, no unrealistic anatomy, no visible feathers on the body, no unrealistic or exaggerated features, no other animal parts except the specified claws, no bird wings or tails., no other animal parts except the specified claws., no visible feathers on the body., no unrealistic anatomy."
a creature with a body of a worm and the legs of a fox,"A fantastical creature with the body of a segmented worm and multiple pairs of fox-like legs. The creature has an elongated, segmented body with clearly defined sections similar to a worm. Its vibrant, agile legs resemble those of a fox, allowing it to move with grace. The creature's head remains worm-like, without any canine features, presenting a smooth, streamlined appearance. ","No humanoid features, no fox head, no arms, no furry humanoid body structure, no insect-like appendages, no dragon features, no scales, no full-furred fox body., no insect-like appendages., no furry humanoid body structure."
a creature with a body of a cheetah and the head of a dodo,"A majestic hybrid creature with the sleek, spotted body of a cheetah and the distinctive, large-headed appearance of a dodo, standing in a natural setting","Multiple creatures, unrealistic features, other animals, other animals.,multiple creatures"
a creature with a body of a chimpanzee and the wings of a seagull,"A realistic hybrid creature with the body of a chimpanzee and detailed seagull wings, set in a lush, natural forest habitat with rays of sunlight filtering through the trees. ","Cartoonish features, other types of wings, unrealistic elements, desert or urban backgrounds, non-natural environments, additional animals or creatures, artificial lighting., non-natural environments., unrealistic elements."
a creature with a body of a spider and the snout of a tapir,"A highly detailed and realistic creature with the body of a spider and the snout of a tapir, featuring eight legs and clear spider characteristics. The tapir snout should be naturally integrated into the spider's head seamlessly. The creature should have the rough, chitinous texture of a spider with a dark, glossy exoskeleton. ","Rodents, mammals (other than the tapir snout), single head, non-spider legs, furry body, cartoonish, unrealistic, multiple heads, human features, wings, aquatic traits, other animal features., other animal features, aquatic traits.,rodents, mammals"
a creature with a body of a moth and the snout of a crocodile,"A mystical creature with the delicate, colorful body of a moth adorned with large, intricate wings and detailed patterns, combined with the rugged, fierce snout of a crocodile. The setting is an enchanted forest with ethereal lighting and ancient, moss-covered trees, radiating an aura of magic and mystery. Enchanting glow surrounding the creature, and golden rays of sunlight filtering through the dense foliage.","Regular crocodiles, regular moths, other animals, plain backgrounds, humanoid features, non-magical scenery, urban elements, plain environments., plain environments, non-magical scenery., any other animals, humanoid features., plain backgrounds."
a creature with a body of a piranha and the snout of a pig,"A fantastical hybrid creature with the body of a fierce piranha, razor-sharp teeth, fins, and the snout of a pig, depicted in vibrant detail against a plain background.","Legs, fur, humanoid features, standing upright, background distractions, extra limbs, wings., background distractions.,legs"
a creature with a body of a bat and the fins of a dolphin,"A unique creature with the body and sleek skin of a bat, featuring large fins resembling bat wings, adapted for both swimming and gliding underwater. The creature seamlessly blends into its aquatic environment, exhibiting a bat-like appearance with dolphin-esque features.","Humanoid features, claws, standing upright, dragon-like appearance, visible legs, fur, humanoid head, traditional dolphin body shape, traditional bat wings, traditional dolphin fins, humanoid characteristics., fins that resemble dolphin fins, traditional bat wings., humanoid head.,humanoid features"
a creature with a body of an owl and the trunk of a tapir,"A lifelike and realistic creature with the body of an owl, featuring fine and detailed feathered wings, large expressive eyes, and intricate, textured feathers, combined with the distinct, elongated snout of a tapir. The creature should display a harmonious and natural blend of owl and tapir features, with close attention paid to realistic color patterns and textures.","Cartoonish or overly stylized representations, typical animals, regular owls without tapir-like features, simplistic textures, unrealistic or fantasy-like elements, sticks.,Sticks, cartoonish or overly stylized representations., unrealistic or cartoonish representations."
a creature with a body of a cow and the beak of a parrot,"An imaginative hybrid creature featuring the body of a cow with the head sporting a parrot's beak. The creature merges the attributes of both the cow and the parrot seamlessly, ensuring that the head is that of a cow with a parrot’s beak instead of the cow's mouth. ","Separate parrot, features unrelated to cows or parrots, unrealistic or fantastical elements, a complete cow head without a parrot’s beak, separate parrot elements, unrealistic features., separate parrot elements., unrealistic or fantastical elements.,separate parrot, unrealistic features"
a creature with a body of a guinea pig and the tail of a scorpion,"A fantastical creature with the body of a guinea pig and the tail of a scorpion, standing in a mystical forest with sunlight filtering through the trees.","Other animals, human-like features, unrealistic colors, additional limbs, modern objects, surreal elements, text, watermark., surreal elements., additional limbs."
a creature with a body of an eagle and the hooves of a bison,"A mythical creature with the body of an eagle, majestic wings spread wide, detailed feathers, sharp beak, and hooves instead of claws, standing proudly on a rock. High detail, high contrast, dramatic lighting, realistic depiction, natural scenery.","Bison head, full bison body, no wings, abstract art, blurry details, sculpture, monochrome, claws, talons, bison head., talons., claws.,bison head"
a creature with a body of a kangaroo and the shell of a tortoise,"A realistic hybrid creature with the body of a kangaroo and a tortoise shell over its torso, standing upright in a minimalist setting. The creature possesses the legs, arms, and head of a kangaroo but has a tortoise shell covering its back. The environment is simple with a plain background, ensuring the focus remains solely on the creature. The hybrid looks natural and well-integrated, harmoniously blending the features of both animals.","No separate tortoises, no separate kangaroos, no fully tortoise bodies, no fully kangaroo bodies, no cartoonish features, no background distractions, no exaggerated features, no missing tortoise shell, no anthropomorphic or overly human-like features, no unrealistic proportions, no human-like torso without shell, no distracting or complex elements in the background., no unrealistic proportions., no exaggerated features."
a creature with a body of a penguin and the arms of a lemur,"A realistic and detailed creature with the body of a penguin and the arms of a lemur, in a dynamic pose, set in a forest environment, with a natural and balanced fur texture, expressing curiosity or playfulness.","Cartoon, minimalistic, static pose, too much fur, orange fur, looking menacing, standing on a rock, penguin arms, exaggerated features, static pose., looking menacing."
a creature with a body of a python and the wings of a dragonfly,"A mystical creature with the elongated, serpentine body of a python and delicate, shimmering dragonfly wings seamlessly integrated into its elegant form. It is set in a vibrant, natural setting with lush green grasses and soft, natural lighting, creating a magical and serene atmosphere.","Thick body, multiple heads, extra limbs, other animal features, dark or harsh lighting, cartoonish features, metallic elements, futuristic or unrealistic elements, hostile or dangerous appearance.,Multiple heads, additional limbs, other animals, harsh or dark lighting, exaggerated or cartoonish features, unrealistic or futuristic elements, aggressive or dangerous appearance., metallic elements., harsh or dark lighting."
a creature with a body of a frog and the beak of a pelican,"A fantastical creature with the body of a frog and the beak of a pelican, sitting gracefully on a lily pad in a serene pond. The creature has smooth, green, amphibious skin, and its pelican beak is perfectly integrated into its frog-like head. Surrounding the serene pond are more lily pads, reflecting a tranquil and mystical atmosphere.","Feathers, bird body, wings, traditional pelican, traditional frog, long neck, extra limbs, non-amphibious creatures, feathers, bird-like feet, traditional frog eyes, incorrect beak shape, wrong beak shape, extra limbs, traditional frog, non-amphibious skin., incorrect beak shape., extra limbs., traditional frog."
a creature with a body of a sloth and the tail of a scorpion,"A hyper-realistic hybrid creature with the body of a sloth and the tail of a scorpion, situated in a dense, vibrant jungle. The creature should appear natural and seamlessly integrate both animal parts. The backdrop should include lush foliage, tall trees, and rich green vegetation, creating an immersive jungle environment, with realistic textures and lighting that enhances the natural look.","Cartoonish, unrealistic, anthropomorphic, animated, artificial, toy-like, exaggerated features, simplistic background, unnatural lighting, unrealistic colors, 2D elements., unnatural lighting., toy-like., animated."
