original_prompt,prompt,negative_prompt
a creature with a body of a kookaburra and the tail of a stingray,"A mythical creature with the body of a kookaburra and the tail of a stingray, in a natural setting","Normal birds, normal animals, no backgrounds without nature elements, no other creatures."
a creature with a body of a sloth and the wings of a falcon,"A creature with the body of a sloth and the wings of a falcon, realistic style, detailed feathers, forest background, dark brown fur, and large, expressive eyes.","Cartoonish style, bright unnatural colors, human-like features, other animals in the background, unrealistic proportions."
a creature with a body of a stork and the tail of a chameleon,A hybrid creature with the body of a stork and the tail of a chameleon.,"Separate animals, multiple creatures, isolated stork and chameleon."
a creature with a body of a zebra and the scales of a pangolin,"A zebra-bodied creature covered in the scales of a pangolin, standing in a desert landscape.","Fur, feathers, smooth skin, horse head."
a creature with a body of a rabbit and the trunk of an elephant,"A hybrid creature with the body of a rabbit and the trunk of an elephant, featuring the long ears and fur of a rabbit and the distinctive trunk extending from the face.","Separate rabbit and elephant, realistic animals, background scenery."
a creature with a body of a porcupine and the fins of a shark,"A hybrid creature with the body of a porcupine and the fins of a shark, blending land and sea features, with sharp porcupine quills covering its back and prominent shark fins on its side and top.","No other animals, no human features, no additional sea creatures, no background distractions, no unrealistic colors."
a creature with a body of a turtle and the legs of a giraffe,A creature with the body of a turtle and the legs of a giraffe.,"Separate turtle and giraffe, normal turtle, normal giraffe."
a creature with a body of a lobster and the legs of a kangaroo,"A creature with the body of a lobster and the strong, muscular legs of a kangaroo, having powerful hind legs for jumping and a tail for balance.","Crab-like legs, thin legs, lobster only."
a creature with a body of a pigeon and the tentacles of an anemone,"A hybrid creature with the body of a pigeon and anemone-like tentacles instead of legs, colorful and delicate, set in a mystical underwater environment.","Regular pigeons, plain birds, simple legs, terrestrial background, no underwater elements."
a creature with a body of a newt and the beak of a toucan,A fantastical creature with the body of a slender newt and a brightly colored toucan beak.,"Bird wings, feathers, standard toucan body, standing like a bird"
a creature with a body of a peacock and the jaws of an alligator,"A fantastical creature with the body of a peacock, complete with vibrant, colorful feathers and long elegant tail, combined with the powerful, imposing jaws of an alligator.","Cartoonish features, unrealistic colors, dragon-like body, dinosaur-like traits."
a creature with a body of a dolphin and the claws of a hawk,"A fantastical hybrid creature with the sleek, streamlined body of a dolphin and the powerful, sharp claws of a hawk; the creature should be depicted emerging from the water with water splashing around it. Focus on natural integration of dolphin and hawk features.","No wings, no bird heads, no extra limbs, no exotic colors, no unrealistic anatomy."
a creature with a body of a worm and the legs of a fox,"A creature with the body of a worm and the legs of a fox, with a segmented, elongated body and multiple pairs of fox-like legs.","No humanoid features, no fox head, no arms, no furry humanoid body structure."
a creature with a body of a cheetah and the head of a dodo,"a hybrid creature with the sleek, spotted body of a cheetah and the distinctive, large-headed appearance of a dodo, standing majestically in a natural setting","multiple creatures, unrealistic features, other animals"
a creature with a body of a chimpanzee and the wings of a seagull,"A hybrid creature with the body of a chimpanzee and the wings of a seagull, realistic style, detailed feathers, and natural habitat background.","Cartoonish features, other types of wings, unrealistic elements."
a creature with a body of a spider and the snout of a tapir,"a creature with the body of a spider and the snout of a tapir, realistic, detailed, eight legs, spider features with tapir snout","rodents, mammals, single head, non-spider legs, furry body"
a creature with a body of a moth and the snout of a crocodile,"A fantastical creature with the delicate, colorful body of a moth adorned with intricate wings and detailed patterns, combined with the rugged, fierce snout of a crocodile, set in a mystical forest background. ","Regular crocodiles, regular moths, any other animals, plain backgrounds."
a creature with a body of a piranha and the snout of a pig,"A fantastical creature with the body of a piranha, including sharp teeth and fins, and the snout of a pig. ","legs, fur, humanoid features, standing upright, background distractions"
a creature with a body of a bat and the fins of a dolphin,"A unique creature with the body of a bat and the fins of a dolphin, featuring large bat wings, smooth dolphin skin, and fins adapted for both swimming and flying.","humanoid features, claws, standing upright, dragon-like appearance"
a creature with a body of an owl and the trunk of a tapir,"A creature with the body of an owl and the trunk of a tapir, a whimsical hybrid with feathered wings and large, expressive eyes, featuring a distinct, elongated snout.","Sticks, regular owls without tapir-like features, typical animals, unrealistic or cartoonish representations."
a creature with a body of a cow and the beak of a parrot,a hybrid creature with the body of a cow and a parrot's beak,"separate parrot, unrealistic features"
a creature with a body of a guinea pig and the tail of a scorpion,"A fantastical creature with the body of a guinea pig and the tail of a scorpion, standing in a mystical forest with sunlight filtering through the trees.","Other animals, human-like features, unrealistic colors, additional limbs."
a creature with a body of an eagle and the hooves of a bison,"a mythical creature with the body of an eagle and hooves of a bison, detailed feathers, sharp beak, majestic wings, standing proudly on a rock","bison head, full bison body, no wings, abstract art, blurry details"
a creature with a body of a kangaroo and the shell of a tortoise,"A hybrid creature with the body of a kangaroo and a tortoise shell, standing upright","No separate tortoises, no separate kangaroos, no fully tortoise bodies, no fully kangaroo bodies, no cartoonish features, no background distractions"
a creature with a body of a penguin and the arms of a lemur,"A creature with the body of a penguin and the arms of a lemur, realistic, detailed, and dynamic pose.","Cartoon, penguin arms, minimalistic, static pose."
a creature with a body of a python and the wings of a dragonfly,"A fantasy creature with the body of a python and delicate, translucent wings of a dragonfly, blending seamlessly into its serpentine form, set against a natural, earthy background with lush green grasses.","Multiple heads, additional limbs, unrealistic or futuristic elements, other animals, harsh or dark lighting."
