original_prompt,prompt,negative_prompt
a snout of an aardvark,"A close-up shot focused exclusively on the detailed texture of an aardvark's snout, showcasing its brownish hue and intricate surface, isolated on a white background.","Full body, other animals, ears, eyes, background, green grass, head, tusks, teeth, any part of the animal apart from the snout.,full body"
a gill of a fish,"close-up of a detailed fish gill, intricate textures, in a natural underwater setting, showing the delicate structure and intricate patterns of the gill","entire fish, other marine creatures, overly bright colors, unrealistic features, fish head, full body shot, full fish, entire body, other fish, fish fins,full fish"
a hoof of a goat,"A close-up image of a goat's hoof on earthy ground. The hoof is detailed and textured, showing natural wear and features. The background is natural and soil-like with a focus on the texture of the hoof and the surrounding earth.","Human hands, animal faces, full body of the goat, unnatural colors, blurry images, other animals, man-made objects, text, hoof off the ground., man-made objects., blurry images."
a talon of a hawk,"A detailed close-up of a hawk's talon, sharp and gripping a branch, with clear textures and natural lighting. Only the talon is in focus.","Full body of the hawk, hawk's head, wings, perched on a post, feathers, any part of the hawk other than the talon, bird's body, bird's fur., any part of the hawk other than talon.,Full-body of the hawk, feathers."
a claw of a lobster,"Close-up of a single lobster claw, sharp and detailed, isolated on a white background, realistic lighting, textured and natural appearance, red and clear definition of the claw structure.","Full lobster, ocean, background, multiple claws, water, outdoor setting, abstract shapes, blurry, out of focus, smooth and artificial appearance, orange object., orange object"
a fang of a bat,"Highly detailed close-up of a single bat's fang, with sharp edges and clear texture, focused solely on the fang, isolated on a plain, neutral background.","Cartoon style, entire bat, background characters, unrealistic elements, green background, other parts of the bat, soft focus, blurred areas, smiling mouth, visible wings, surrounding details, cute appearance.,""Cartoon, unrealistic, blurred, surrounding details"", cute, smiling mouth"",Cartoon"
a feather of a peacock,"A single, detailed peacock feather with vibrant colors, a close-up on the feather's intricate patterns.","Multiple feathers, entire peacock, abstract shapes, dull colors, text., dull colors.,multiple feathers"
a skin of a chameleon,"close-up of colorful chameleon skin, zoomed-in texture, mosaic of vibrant colors, intricate scale patterns, extreme detail, high resolution","chameleon face, chameleon body, background, scales of other animals, eyes, limbs, chameleon eyes"
a horn of a bison,"Detailed close-up of a bison's horn, capturing the intricate patterns, rugged surface, and texture.","Full body of bison, background, landscape, multiple animals, fur, skin, other body parts, surroundings., skin.,full body of bison"
a tail of a beaver,"close-up of a beaver's tail, detailed, realistic texture, natural habitat, focusing on tail only, intricate scale pattern","beaver's face, full body of beaver, otter, water, background, feathers, pink background, dirt, other animals, fur, any text, grassy background"
a tusk of a walrus,"a single walrus tusk on a plain, monochromatic background","walrus, animal, water, ocean, scenery, floor, wood, red objects, carved wood, multiple tusks, cracks, dirt, text,entire walrus, background scenery, background"
a tusk of an elephant,"Close-up of an elephant tusk, detailed texture, ivory, macro shot, single tusk, isolated","Full body of elephant, face of elephant, background elements, blurred detail, multiple tusks, trunk, ears, other animals."
a tentacle of a jellyfish,"a close-up, highly detailed, underwater image of a single tentacle of a jellyfish, focusing on its texture and patterns, showing intricate and vibrant details of the tentacle's surface, with intricate, vibrant colors and subtle translucency.","entire jellyfish, multiple tentacles, ocean surface, full body, other marine creatures, blurry image, background distractions, dark images."
a fur of a rabbit,"Close-up of a soft and fluffy rabbit fur, texture, detailed, fine strands, natural color","Entire rabbit, background, face, ears, eyes, paws, legs, any discernible features other than fur, eye, black and white fur pattern"
a ear of a rabbit,"close-up of a rabbit's ear, detailed texture, focused, soft lighting","full body of rabbit, entire rabbit, background, rabbit face, rabbit eyes, rabbit nose, rabbit head, other body parts"
a claw of a crab,close-up of a crab claw,"full crab, entire crab, background, other body parts, multiple claws, non-claw elements, blurred details, out of focus, too much background, multiple objects"
a crest of a rooster,"crest of a rooster, detailed emblem, heraldic design, shield background, intricate feathers, vibrant colors, regal appearance, ornate detailing, crowned shield, golden accents, majestic rooster, intricate shield design, majestic pose, deep red and gold color scheme","full rooster body, plain background, low detail, faded colors, simplistic design, mundane elements, dull appearance, no shield, no ornate details, no heraldry, no crown, minimalistic rooster"
