original_prompt,prompt,negative_prompt
a snout of an aardvark,a close-up of an aardvark's snout,"full body, other animals, background, green grass, eyes, head, ears, tusks, teeth"
a gill of a fish,"close-up of a detailed fish gill, intricate textures, in a natural underwater setting","entire fish, other marine creatures, overly bright colors, unrealistic features, fish head, full body shot,full fish, entire body, other fish"
a hoof of a goat,"A close-up image of a goat's hoof on natural ground. The hoof is detailed and textured, showing natural wear and features. The background is earthy and blended, highlighting the hoof's texture.","Human hands, animal faces, full body of the goat, unnatural colors, blurry images, other animals, man-made objects., blurry images."
a talon of a hawk,"A detailed close-up of a hawk's talon, sharp and gripping a branch, with clear textures and natural lighting.","Full-body of the hawk, hawk's head, wings, perched on a post, feathers."
a claw of a lobster,"Close-up of a lobster claw, single sharp claw, isolated","Full lobster, ocean, background, multiple claws, water, outdoor setting, orange object, abstract shapes"
a fang of a bat,"""Close-up of a single bat's fang, highly detailed and realistic, with clear texture and sharp edges, focus on the fang only""","""Cartoon, cute, entire bat, background characters, unrealistic, green background, other parts of the bat, soft focus, blurred, smiling mouth"",Cartoon"
a feather of a peacock,"a single, close-up peacock feather, detailed, vibrant colors","multiple feathers, entire peacock, abstract shapes, dull colors"
a skin of a chameleon,"close-up of colorful chameleon skin, detailed texture, vibrant colors, intricate patterns, high resolution","chameleon face, chameleon eyes, chameleon body, background"
a horn of a bison,"close-up of a bison's horn, detailed texture","full body of bison, background, landscape, multiple animals"
a tail of a beaver,a close-up of a beaver's tail,"beaver's face, full body of beaver, otter, water, grassy background, feathers, pink background"
a tusk of a walrus,a close-up of a walrus tusk,"entire walrus, water, ocean, background scenery, floor, wood, background"
a tusk of an elephant,Close-up of an elephant tusk,"Full body of elephant, face of elephant"
a tentacle of a jellyfish,"a close-up, highly detailed, underwater image of a single tentacle of a jellyfish, focusing on its texture and patterns","entire jellyfish, multiple tentacles, ocean surface, full body"
a fur of a rabbit,Close-up of soft and fluffy rabbit fur,"Entire rabbit, background, face, ears, eyes, paws, legs"
a ear of a rabbit,close-up of a rabbit ear,"full body of rabbit, entire rabbit, background, rabbit face, rabbit eyes"
