original_prompt,prompt,negative_prompt
a snout of an aardvark,a close-up of an aardvark's snout,"full body, other animals, background, green grass"
a gill of a fish,"a close-up of a fish gill, detailed textures, in a natural underwater setting","full fish, entire body, other fish, overly bright colors, unrealistic features"
a hoof of a goat,"A close-up image of a goat's hoof, showcasing the texture and details of the hoof on a natural ground background.","Human hands, animal faces, full body of the goat, unnatural colors, blurry images."
a talon of a hawk,A close-up of a hawk's talon,"Full-body of the hawk, wings, perched on a post"
a claw of a lobster,A close-up of a lobster claw,"Full lobster, ocean, background, multiple claws, water, outdoor setting"
a fang of a bat,"A close-up of a bat's fang, detailed and realistic, with clear texture and sharp edges","Cartoon, cute, background characters, unrealistic, entire bat, green background"
a feather of a peacock,"a single detailed peacock feather, close-up ","multiple feathers, entire peacock, abstract shapes"
a skin of a chameleon,"close-up of colorful chameleon skin, detailed texture, vibrant colors","chameleon face, chameleon body, background"
a horn of a bison,a close-up of a bison's horn,"full body of bison, background, landscape, multiple animals"
a tail of a beaver,a close-up of a beaver's tail,"beaver's face, full body of beaver, otter, water, grassy background"
a tusk of a walrus,a close-up of a walrus tusk,"entire walrus, water, ocean, background scenery"
a tusk of an elephant,Close-up of an elephant tusk,Full body of elephant
a tentacle of a jellyfish,"a single tentacle of a jellyfish, close-up, highly detailed, underwater","entire jellyfish, multiple tentacles, ocean surface"
a fur of a rabbit,Close-up of soft and fluffy rabbit fur,"Entire rabbit, background, face, ears, eyes"
a ear of a rabbit,a close-up of a rabbit ear,"full body of rabbit, entire rabbit, background"
a claw of a crab,a close-up of a crab claw,"full crab, entire crab, background, other body parts"
a crest of a rooster,"crest of a rooster, detailed emblem, heraldic design, shield background, intricate feathers, vibrant colors","full rooster body, plain background, low detail, faded colors"
a bite of a mosquito,a mosquito biting human skin,"mosquito on a leaf, mosquito alone, no human, abstract background"
a eye of an eagle,A close-up of an eagle's eye,"Full eagle, full body, background, other animals"
a antenna of an ant,"close-up of an antenna of an ant, macro photography, detailed view","whole ant, full body, background objects"
a beak of a parrot,"close-up of a parrot's beak, detailed and vibrant colors","full parrot, background, entire body, leaves"
a stinger of a bee,A close-up of a bee's stinger,"Entire bee, flower, background"
a shell of a clam,"A clam shell, specifically showing a closed or single half of an empty shell, with smooth edges and a detailed texture.","An open, intact clam with both shells, any marine creature, other types of shells (e.g., conch shells), artificial backgrounds, cluttered scenes"
a paw of a bear,"A close-up of a bear paw on the ground, showing its fur and claws.","human hand, cartoon, unrealistic fur, other animals, background scenery"
a plume of an ostrich,"an elegant plume of an ostrich, close-up view, intricate feather details, softness, rich textures, natural colors","full ostrich, background landscape, whole bird, other animals"
a wing of a butterfly,a close-up of a butterfly wing,"whole butterfly, flowers, plants, background, full insect"
a fin of a shark,a shark fin breaking the surface of the ocean,"the whole shark, multiple fins, other animals, blurry water"
a antler of a moose,a close-up of a moose antler,"whole moose, background, field, grass, moose head"
a trunk of an elephant,close-up of an elephant trunk,"full body of an elephant, scenery, background, other parts of the elephant"
a horn of a goat,a close-up view of a goat's horn,"a full goat, goat head, background scenery, landscape"
a leg of a centipede,"a close-up of a centipede leg, detailed, macro photography, focusing on the texture and joints","full centipede, background, blurry, whole body, multiple legs"
a mane of a lion,"Close-up of a lion's mane, detailed fur texture, vibrant colors, realistic, sharp focus, natural background","Entire body of lion, face of lion, cartoonish elements, blurry image, other animals"
a antler of a deer,a detailed close-up of a deer's antler,"deer head, deer body, grass, background, full deer"
a paw of a fox,"a close-up of the paw of a fox, detailed, realistic, fur texture, nature background","face of a fox, entire body of a fox, other animals, human, abstract elements"
a quill of a porcupine,"A close-up of a single porcupine quill, detailed texture.","Entire porcupine, background, grass."
a hump of a camel,a close-up of a camel's hump in a desert setting,"camel's face, camel's head"
a wing of a moth,"a close-up of a moth wing, showing intricate patterns and textures","the entire moth, background elements, leaves, branches"
a horn of a rhinoceros,"close-up of a rhinoceros horn, detailed texture","full body of rhinoceros, background scenery, trees, grass"
a hoof of a horse,close-up of a single hoof of a horse,"multiple horse legs, background, full body of a horse"
a spike of an echidna,close-up of a single echidna spike,"entire echidna, multiple spines, background, ground"
a claw of an eagle,a close-up of an eagle's claw,"an eagle's head, an entire eagle, any background"
a paw of a raccoon,a close-up of a raccoon's paw,"whole raccoon, face of raccoon, full body, grass, background, outdoor"
a skin of a salamander,"Close-up texture of a salamander's skin, detailed patterns, vibrant colors, slimy and smooth surface, high-resolution","Full body of salamander, background elements, other animals, blur, low-detail, distractions"
a tentacle of an octopus,a single tentacle of an octopus,"full octopus, multiple tentacles, ocean background, underwater, marine life"
a shell of a snail,a close-up view of an empty snail shell on a natural background,"snail, animal, living creature"
a fin of a manta ray,a close-up of a manta ray's fin,"full-body manta ray, ocean background, other marine creatures"
a jaw of a wolf,"close-up of a wolf's jaw, sharp teeth, detailed fangs","entire wolf face, full-body wolf, multiple animals"
a tail of a kangaroo,a close-up of a kangaroo's tail,"full body of a kangaroo, kangaroo head, kangaroo's legs, background elements"
a mane of a horse,Close-up of a horse's mane ,"Full horse, background details, grass"
a tongue of a frog,"a close-up of a frog's tongue, detailed and extended","entire frog, full-body, background elements, multiple frogs"
a fur of a mink,"close-up of mink fur, detailed texture, soft and shiny, smooth pattern","animal, face, eyes, paws"
a tusk of a mammoth,"a large, curved tusk of a woolly mammoth, with detailed texture and ancient appearance, lying on a natural surface","horn, modern objects, human hand, polished finish"
a beak of a toucan,A close-up of a toucan's beak,"Entire toucan bird, full body, background, other animals, other birds, text"
a tusk of a narwhal,"A detailed close-up of the spiraled tusk of a narwhal in its natural habitat, emerging from the blue Arctic waters with the reflection on the water surface.","Dolphin, whale without tusk, incorrect tusk shape, land, human, artificial objects."
a trunk of a tapir,A close-up view of the trunk of a tapir,"Whole body of a tapir, wide shot, background elements, grass, detailed surroundings"
a shell of a turtle,a close-up of a turtle shell on a plain background,"entire turtle, legs, head, outdoor scenery"
a tail of a lemur,a close-up of a lemur's tail,"a full lemur, face of a lemur, lemur body, lemur eyes"
a tail of a possum,A close-up of a possum's tail,"The whole possum, face"
a spike of a porcupine,"A spike of a porcupine, close-up, detailed","Hedgehog, animal, outdoors, grass, cute, porcupine"
a tooth of a beaver,"a beaver tooth, detailed, realistic, showing unique features of a beaver tooth, single isolated on a plain background","human tooth, anthropomorphic, cartoonish, unrealistic, multiple objects"
a paw of a panda,a close-up of a panda's paw,"full-body of panda, face of panda, background forest, scenery, whole panda"
a nose of a dog,a close-up of a dog's nose,"full face of a dog, background, blurry images"
a eye of a lemur,"close-up of a lemur's eye, detailed, realistic, focused on the eye","full body, background, entire face, cartoonish, blurry"
a bill of a duck,close-up of a duck's bill,"full duck, water, background"
a tooth of a crocodile,close-up of a crocodile tooth,"crocodile, water, full body, background, multiple teeth"
a horn of an antelope,a detailed close-up of a horn of an antelope ,"full body of antelope, background, other animals"
