original_prompt,prompt,negative_prompt
a snout of an aardvark,"A close-up shot focused exclusively on the detailed texture of an aardvark's snout, showcasing its brownish hue and intricate surface, isolated on a white background.","Full body, other animals, ears, eyes, background, green grass, head, tusks, teeth, any part of the animal apart from the snout.,full body"
a gill of a fish,"Close-up of a detailed fish gill, intricate textures and delicate structures in a natural underwater setting, capturing the fine patterns and colors of the gill.","Entire fish, full body, fish head, fish fins, other marine creatures, overly bright colors, unrealistic features, text.,entire fish, full body shot, full fish, entire body, other fish,full fish"
a hoof of a goat,"A close-up image of a goat's hoof on earthy ground. The hoof is detailed and textured, showing natural wear and features. The background is natural and soil-like with a focus on the texture of the hoof and the surrounding earth. ","Human hands, animal faces, full body of the goat, unnatural colors, blurry images, other animals, man-made objects, text, hoof off the ground, blurry images., hoof off the ground., man-made objects."
a talon of a hawk,"A detailed close-up of a hawk's talon, sharp and gripping a branch, with clear textures and natural lighting. Only the talon is in focus, showing the intricate detail of the claws and the rough texture of the branch.","Full body of the hawk, hawk's head, wings, feathers, any part of the hawk other than the talon, bird's body, bird's fur, the entire bird, the hawk in the photo., perched on a post, bird's fur., any part of the hawk other than talon.,Full-body of the hawk, feathers."
a claw of a lobster,"Close-up of a single lobster claw, sharp and detailed, isolated on a white background, realistic lighting, textured and natural appearance, red and clear definition of the claw structure, natural curves and details, focus on the unique texture and natural detail of the claw.","Full lobster, ocean, background, multiple claws, water, outdoor setting, abstract shapes, blurry, out of focus, smooth, artificial appearance, orange object, tail, segments, disjointed parts, less realistic, cartoonish., smooth and artificial appearance, orange object."
a fang of a bat,"Highly detailed extreme close-up of a single bat's fang, with sharp edges and clear texture, focused solely on the fang, isolated on a plain, neutral background.","Cartoon style, entire bat, multiple fangs, background characters, unrealistic elements, green background, soft focus, blurred areas, smiling mouth, visible wings, surrounding details, cute appearance, bat's mouth., other parts of the bat, cute appearance.,""Cartoon, unrealistic, blurred, surrounding details"", cute, smiling mouth"",Cartoon"
a feather of a peacock,"A single peacock feather, detailed and close-up, showcasing vibrant colors and intricate patterns.","Multiple feathers, entire peacock, abstract shapes, dull colors, text., dull colors.,multiple feathers"
a skin of a chameleon,"Close-up of colorful chameleon skin, zoomed-in texture, mosaic of vibrant colors, intricate scale patterns, extreme detail, high resolution, colorful reptile scales.","Chameleon face, chameleon body, background, scales of other animals, eyes, limbs, chameleon eyes, patternless areas, smooth surfaces, blurred details.,chameleon face"
a horn of a bison,"Extreme close-up of a bison's horn, highlighting the intricate grooves, detailed patterns, and rough texture, with a focus on the curve and surface of the horn.","Full body of bison, background, landscape, multiple animals, fur, skin, other body parts, surroundings, eyes., surroundings., skin.,full body of bison"
a tail of a beaver,"close-up of a beaver's tail, detailed, realistic texture, natural habitat, focusing on tail only, intricate scale pattern, textured tail, rough surface","beaver's face, full body of beaver, fur, otter, water, background, feathers, pink background, dirt, other animals, any text, grassy background"
a tusk of a walrus,"a single walrus tusk on a plain, monochromatic background","walrus, animal, water, ocean, scenery, floor, wood, red objects, carved wood, multiple tusks, cracks, dirt, text, entire walrus, background scenery, background decorations,entire walrus, background"
a tusk of an elephant,"Close-up of an elephant tusk, detailed texture, ivory, macro shot, single tusk, isolated on white background, no part of elephant's body visible except the tusk.","Full body of elephant, face of elephant, background elements, blurred detail, multiple tusks, trunk, ears, other animals, visible skin of elephant., other animals."
a tentacle of a jellyfish,"a close-up, highly detailed, underwater image of a single tentacle of a jellyfish, focusing on its texture and patterns, showing intricate and vibrant details of the tentacle's surface, with intricate, vibrant colors and subtle translucency, showcasing the delicate and filamentous structures vividly.","entire jellyfish, multiple tentacles, ocean surface, full body, other marine creatures, blurry image, background distractions, dark images, unclear details, non-jellyfish elements, overly bright lighting., dark images."
