original_prompt,prompt,negative_prompt
a creature with a body of a butterfly and the legs of an ostrich,"A fantastical creature with the delicate, colorful wings and body of a butterfly and the long, sturdy legs of an ostrich, standing in a mystical, ethereal landscape.","Bird head, bird beak, human body, mammal features, plain background"
a creature with a body of a badger and the tentacles of a jellyfish,"A hybrid creature with the body of a badger integrated seamlessly with tentacles of a jellyfish. The creature has the distinctive fur and markings of a badger, with flowing, translucent, and bioluminescent tentacles. The body is robust and the tentacles are flexible and graceful.","Fish, octopus, squids, plain jellyfish, bright colors, abstract shapes, unrelated animal features."
a creature with a body of a horse and the wings of an eagle,"sleek mythical creature with the body of a horse and the wings of an eagle, resembling a majestic Pegasus, high-quality, realistic, detailed, sharp focus, dynamic pose","distorted, blurry, double exposure, multiple heads, incorrect anatomy, extra limbs, abstract"
a creature with a body of an antelope and the claws of a bear,"A creature with the body of an antelope and the claws of a bear, slender legs, hooves, and antlers.","Bear-like body, no antlers, standing upright"
a creature with a body of a swan and the head of an iguana,"a fantastical creature with the elegant body of a swan and the detailed head of an iguana, standing in a natural setting with clear lighting and high detail","abstract shapes, distorted forms, blurred image, unrealistic anatomy, extra limbs"
a creature with a body of a chimpanzee and the wings of a seagull,"a mythical creature with the body of a chimpanzee and large, detailed wings of a seagull, realistic and high-definition, majestic and powerful","distorted body parts, extra limbs, low resolution, unrealistic anatomy"
a creature with a body of a kookaburra and the tail of a stingray,"A creature with the body of a kookaburra and the tail of a stingray, detailed and realistic.","Fish, marine animals, distorted features, abstract elements."
a creature with a body of a piranha and the snout of a pig,"A hybrid creature with the fierce body of a piranha and the distinctive snout of a pig, realistic and detailed, swimming in a murky underwater environment","Cartoonish design, exaggerated features, floating in the air, plain background"
a creature with a body of a sheep and the claws of an eagle,"A fantastical creature with the body of a fluffy sheep and the sharp claws of an eagle. The creature should be standing on two legs, with a sheep's woolly body and an eagle's powerful talons as its feet. The claws should be prominently visible, and the creature should be in a natural setting.","Feathered body, wings, bird head, multiple legs"
a creature with a body of a roadrunner and the tentacles of an octopus,"a creature with the body of a roadrunner and the tentacles of an octopus, detailed feathers and tentacles, realistic texture, grey background","no other animals, no extra limbs, no unrealistic features"
a creature with a body of a starfish and the legs of a zebra,"a creature with the body of a starfish and the legs of a zebra, starfish body, zebra legs, hybrid creature, clear and distinct features","human, humanoid, person, blurry, indistinct"
a creature with a body of an owl and the trunk of a tapir,"a mythical creature with the body of an owl and the trunk of a tapir, detailed feathers, tapir trunk in proportion to the owl body, realistic texture, in natural environment","distorted anatomy, extra limbs, unrealistic features, multiple heads, abstract shapes"
a creature with a body of a koala and the tail of a rattlesnake,"a creature with the body of a koala and the tail of a rattlesnake, realistic, seamless integration","disjointed, cut, mismatched, floating, unnatural"
